p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.88232333251e-05	0.000771752566328	GO:0005615	c	2	extracellular space	1356; 54841; 2157; 3084; 3488; 4585; 5627; 5697; 6439; 7941; 1839; 7035; 84883; 57509; 27189	ENSG00000131096; ENSG00000185010; ENSG00000145113; ENSG00000134897; ENSG00000168878; ENSG00000113070; ENSG00000129422; ENSG00000115461; ENSG00000146070; ENSG00000157168; ENSG00000047457; ENSG00000003436; ENSG00000184500; ENSG00000042286; ENSG00000124391	1338	543
0.000360938110267	0.0133547100799	GO:0005176	m	4	ErbB-2 class receptor binding	3084; 4585	ENSG00000145113; ENSG00000157168	4	4
0.000559489188016	0.0296529269648	GO:0072376	b	2	protein activation cascade	2157; 5627; 7035	ENSG00000003436; ENSG00000185010; ENSG00000184500	95	21
0.000644166627875	0.109858287279	GO:0042596	b	4	fear response	150; 2898; 4208	ENSG00000164418; ENSG00000081189; ENSG00000150594	40	22
0.000893156807144	0.109858287279	GO:1901142	b	4	insulin metabolic process	2081; 56605	ENSG00000178607; ENSG00000086619	7	6
0.00178681882384	0.134384681102	GO:0021575	b	3	hindbrain morphogenesis	10395; 51286; 64211	ENSG00000089116; ENSG00000184524; ENSG00000164741	42	31
0.00211096540935	0.134384681102	GO:0021694	b	3	cerebellar Purkinje cell layer formation	51286; 64211	ENSG00000089116; ENSG00000184524	13	9
0.00211096540935	0.165131690709	GO:0072378	b	4	blood coagulation, fibrin clot formation	2157; 7035	ENSG00000003436; ENSG00000185010	26	9
0.00268506814161	0.165131690709	GO:0051270	b	4	regulation of cellular component movement	150; 3488; 4744; 4921; 6330; 7941; 10395; 1839; 11240; 79899	ENSG00000117115; ENSG00000150594; ENSG00000135362; ENSG00000100285; ENSG00000146070; ENSG00000113070; ENSG00000115461; ENSG00000162733; ENSG00000177098; ENSG00000164741	714	450
0.00294842028247	0.166208269934	GO:0045667	b	5	regulation of osteoblast differentiation	3488; 4208; 4921; 25819	ENSG00000162733; ENSG00000151014; ENSG00000115461; ENSG00000081189	108	76
0.00319234079282	0.134384681102	GO:0021692	b	3	cerebellar Purkinje cell layer morphogenesis	51286; 64211	ENSG00000089116; ENSG00000184524	15	11
0.00322346863767	0.166208269934	GO:0030279	b	5	negative regulation of ossification	3488; 4208; 25819	ENSG00000151014; ENSG00000115461; ENSG00000081189	70	38
0.00339203452083	0.134384681102	GO:0033002	b	3	muscle cell proliferation	3084; 3488; 4208; 1839	ENSG00000113070; ENSG00000115461; ENSG00000081189; ENSG00000157168	138	79
0.00373290780838	0.134384681102	GO:0007586	b	3	digestion	150; 4585; 5697	ENSG00000131096; ENSG00000145113; ENSG00000150594	150	40
0.00448140629673	0.166208269934	GO:0043496	b	5	regulation of protein homodimerization activity	3084; 4208	ENSG00000081189; ENSG00000157168	18	13
0.0048924495454	0.146773486362	GO:0033555	b	3	multicellular organismal response to stress	150; 2898; 4208	ENSG00000164418; ENSG00000081189; ENSG00000150594	76	44
0.00521249778124	0.166208269934	GO:0002526	b	5	acute inflammatory response	150; 2157; 5627	ENSG00000185010; ENSG00000184500; ENSG00000150594	133	45
0.00597155460842	0.153554261359	GO:0021697	b	3	cerebellar cortex formation	51286; 64211	ENSG00000089116; ENSG00000184524	22	15
0.00597155460842	0.166208269934	GO:0060043	b	5	regulation of cardiac muscle cell proliferation	3084; 4208	ENSG00000081189; ENSG00000157168	31	15
0.00597155460842	0.166208269934	GO:0021533	b	5	cell differentiation in hindbrain	51286; 64211	ENSG00000089116; ENSG00000184524	25	15
0.00597155460842	0.11345953756	GO:0031624	m	5	ubiquitin conjugating enzyme binding	2898; 285671	ENSG00000164418; ENSG00000164197	19	15
0.00765633022181	0.141642109104	GO:0044390	m	4	ubiquitin-like protein conjugating enzyme binding	2898; 285671	ENSG00000164418; ENSG00000164197	21	17
0.00866102382211	0.420914373664	GO:0030278	b	4	regulation of ossification	3488; 4208; 4921; 25819	ENSG00000162733; ENSG00000151014; ENSG00000115461; ENSG00000081189	178	103
0.00957264001343	0.22837584032	GO:1903036	b	5	positive regulation of response to wounding	150; 7941; 1839	ENSG00000113070; ENSG00000146070; ENSG00000150594	145	56
0.00982843021296	0.208524278593	GO:0016477	b	3	cell migration	150; 3084; 3488; 4208; 4921; 5627; 7941; 10395; 1839; 11240; 79899; 51286	ENSG00000117115; ENSG00000150594; ENSG00000135362; ENSG00000146070; ENSG00000164741; ENSG00000113070; ENSG00000184500; ENSG00000157168; ENSG00000184524; ENSG00000162733; ENSG00000115461; ENSG00000081189	1157	716
