p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000163922911725	0.0032784582345	GO:0005615	c	2	extracellular space	1356; 2157; 3084; 3488; 57509; 27189	ENSG00000185010; ENSG00000124391; ENSG00000115461; ENSG00000157168; ENSG00000047457; ENSG00000129422	1338	543
0.000195840705269	0.00815361001745	GO:0043496	b	5	regulation of protein homodimerization activity	3084; 4208	ENSG00000081189; ENSG00000157168	18	13
0.000263117480444	0.00815361001745	GO:0060043	b	5	regulation of cardiac muscle cell proliferation	3084; 4208	ENSG00000081189; ENSG00000157168	31	15
0.000271719326921	0.0263567747114	GO:0033002	b	3	muscle cell proliferation	3084; 3488; 4208	ENSG00000115461; ENSG00000081189; ENSG00000157168	138	79
0.000399100109468	0.00815361001745	GO:0051147	b	5	regulation of muscle cell differentiation	3084; 4208; 6935	ENSG00000148516; ENSG00000081189; ENSG00000157168	151	90
0.00042356415675	0.00815361001745	GO:0042692	b	5	muscle cell differentiation	3084; 3488; 4208; 6935	ENSG00000148516; ENSG00000115461; ENSG00000081189; ENSG00000157168	360	225
0.000574917204902	0.00885372495549	GO:0060038	b	5	cardiac muscle cell proliferation	3084; 4208	ENSG00000081189; ENSG00000157168	41	22
0.000805715578029	0.00886287135832	GO:0048636	b	5	positive regulation of muscle organ development	3084; 4208	ENSG00000081189; ENSG00000157168	51	26
0.000805715578029	0.00886287135832	GO:1901863	b	5	positive regulation of muscle tissue development	3084; 4208	ENSG00000081189; ENSG00000157168	52	26
0.00114718446359	0.0556384464843	GO:0055017	b	3	cardiac muscle tissue growth	3084; 4208	ENSG00000081189; ENSG00000157168	57	31
0.00114718446359	0.0553068053492	GO:0014855	b	4	striated muscle cell proliferation	3084; 4208	ENSG00000081189; ENSG00000157168	54	31
0.00137997941542	0.0553068053492	GO:0003208	b	4	cardiac ventricle morphogenesis	3084; 4208	ENSG00000081189; ENSG00000157168	62	34
0.00146218809653	0.0553068053492	GO:0060419	b	4	heart growth	3084; 4208	ENSG00000081189; ENSG00000157168	65	35
