GO term	Category	background genes	 candidate gene	p-value	q-value
GO:0071944   cell periphery	CC 2	4967(2767)	235 (8.5%)	2.00E-05	0.00127
GO:0005886   plasma membrane	CC 2	4864(2692)	228 (8.5%)	3.43E-05	0.00127
GO:0003013   circulatory system process	BP 4	423(256)	35 (13.7%)	4.38E-05	0.0363
GO:0031224   intrinsic component of membrane	CC 2	5523(3014)	249 (8.3%)	7.45E-05	0.00184
GO:0044700   single organism signaling	BP 2	6125(3859)	309 (8.0%)	7.55E-05	0.00634
GO:0008015   blood circulation	BP 5	421(254)	34 (13.4%)	8.60E-05	0.0605
GO:0004888   transmembrane signaling receptor activity	MF 4	1272(362)	44 (12.2%)	8.82E-05	0.0145
GO:0003008   system process	BP 3	1962(889)	88 (9.9%)	0.00012	0.0389
GO:0016021   integral component of membrane	CC 3	5402(2966)	243 (8.2%)	0.000167	0.0216
GO:0022804   active transmembrane transporter activity	MF 3	349(212)	29 (13.7%)	0.000191	0.02
GO:0072376   protein activation cascade	BP 2	95(26)	8 (30.8%)	0.000209	0.0088
GO:0046883   regulation of hormone secretion	BP 4	265(164)	24 (14.6%)	0.000242	0.057
GO:0007154   cell communication	BP 3	6343(4031)	317 (7.9%)	0.000245	0.0389
GO:0005887   integral component of plasma membrane	CC 4	1576(747)	75 (10.0%)	0.000252	0.0389
GO:0023061   signal release	BP 4	452(291)	36 (12.4%)	0.000268	0.057
GO:0009914   hormone transport	BP 4	324(196)	27 (13.8%)	0.00028	0.057
GO:0031226   intrinsic component of plasma membrane	CC 3	1636(776)	77 (9.9%)	0.0003	0.0216
GO:0048495   Roundabout binding	MF 4	4(3)	3 (100.0%)	0.000301	0.0248
GO:0038023   signaling receptor activity	MF 3	1372(418)	47 (11.2%)	0.000327	0.02
GO:0007267   cell-cell signaling	BP 3	1238(729)	73 (10.0%)	0.00033	0.0389
GO:0030198   extracellular matrix organization	BP 4	388(262)	33 (12.6%)	0.000343	0.057
GO:0043062   extracellular structure organization	BP 3	389(263)	33 (12.5%)	0.000368	0.0389
