p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.00159403491593	0.0541971871417	GO:0051172	b	5	negative regulation of nitrogen compound metabolic process	2909; 3054; 7936; 220929; 81857; 54386; 253461	ENSG00000160007; ENSG00000183621; ENSG00000166848; ENSG00000204356; ENSG00000104973; ENSG00000172534; ENSG00000177311	1452	1027
0.00319735804986	0.0347795522918	GO:0005634	c	4	nucleus	2909; 3054; 4174; 4482; 7936; 138199; 339324; 340120; 220929; 81857; 51397; 151050; 54386; 55872; 253461; 285381	ENSG00000144445; ENSG00000160007; ENSG00000183621; ENSG00000168078; ENSG00000100297; ENSG00000145781; ENSG00000166848; ENSG00000156017; ENSG00000104973; ENSG00000204356; ENSG00000175806; ENSG00000154813; ENSG00000189127; ENSG00000172534; ENSG00000254004; ENSG00000177311	6774	5162
0.00469770820718	0.0589224485034	GO:0031324	b	5	negative regulation of cellular metabolic process	2909; 3054; 7936; 220929; 81857; 54386; 55872; 253461	ENSG00000160007; ENSG00000183621; ENSG00000168078; ENSG00000166848; ENSG00000204356; ENSG00000104973; ENSG00000172534; ENSG00000177311	2272	1589
0.00519903957383	0.0589224485034	GO:0010605	b	5	negative regulation of macromolecule metabolic process	2909; 3054; 7936; 220929; 81857; 54386; 55872; 253461	ENSG00000160007; ENSG00000183621; ENSG00000168078; ENSG00000166848; ENSG00000204356; ENSG00000104973; ENSG00000172534; ENSG00000177311	2268	1615
0.00657973987111	0.0347795522918	GO:0005654	c	4	nucleoplasm	3054; 4174; 4482; 7936; 339324; 220929; 81857; 151050; 54386; 285381	ENSG00000144445; ENSG00000154813; ENSG00000183621; ENSG00000100297; ENSG00000166848; ENSG00000204356; ENSG00000175806; ENSG00000104973; ENSG00000172534; ENSG00000254004	2838	2477
0.00720203966564	0.0612173371579	GO:0009890	b	5	negative regulation of biosynthetic process	2909; 3054; 7936; 220929; 81857; 253461	ENSG00000204356; ENSG00000160007; ENSG00000183621; ENSG00000177311; ENSG00000104973; ENSG00000172534	1445	1004
0.0087271487287	0.0959986360157	GO:0003700	m	2	transcription factor activity, sequence-specific DNA binding	2909; 3054; 339324; 220929; 253461	ENSG00000172534; ENSG00000160007; ENSG00000254004; ENSG00000177311; ENSG00000183621	1162	735
0.00926590185293	0.252331898407	GO:0051099	b	4	positive regulation of binding	81857; 285381	ENSG00000104973; ENSG00000154813	111	81
0.00926590185293	0.0347795522918	GO:0000123	c	4	histone acetyltransferase complex	3054; 151050	ENSG00000144445; ENSG00000172534	87	81
0.00989536856498	0.252331898407	GO:0009892	b	4	negative regulation of metabolic process	2909; 3054; 7936; 220929; 81857; 54386; 55872; 253461	ENSG00000160007; ENSG00000183621; ENSG00000168078; ENSG00000166848; ENSG00000204356; ENSG00000104973; ENSG00000172534; ENSG00000177311	2546	1794
0.00993701494053	0.0347795522918	GO:0031902	c	4	late endosome membrane	153129; 84888	ENSG00000177058; ENSG00000138600	106	84
