p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000298067536128	0.0125188365174	GO:0005615	c	2	extracellular space	1356; 2157; 3084; 3488; 4585; 5697; 6439; 8722; 1839; 7035; 84883; 57509; 27189	ENSG00000131096; ENSG00000185010; ENSG00000145113; ENSG00000174080; ENSG00000124391; ENSG00000168878; ENSG00000113070; ENSG00000129422; ENSG00000115461; ENSG00000157168; ENSG00000047457; ENSG00000003436; ENSG00000042286	1338	543
0.000360938110267	0.0126328338593	GO:0005176	m	4	ErbB-2 class receptor binding	3084; 4585	ENSG00000145113; ENSG00000157168	4	4
0.000893156807144	0.210785006486	GO:1901142	b	4	insulin metabolic process	2081; 56605	ENSG00000178607; ENSG00000086619	7	6
0.00178681882384	0.148401510286	GO:0021575	b	3	hindbrain morphogenesis	10395; 51286; 64211	ENSG00000089116; ENSG00000184524; ENSG00000164741	42	31
0.00211096540935	0.148401510286	GO:0021694	b	3	cerebellar Purkinje cell layer formation	51286; 64211	ENSG00000089116; ENSG00000184524	13	9
0.00211096540935	0.249093918304	GO:0072378	b	4	blood coagulation, fibrin clot formation	2157; 7035	ENSG00000003436; ENSG00000185010	26	9
0.00294842028247	0.145307828805	GO:0045667	b	5	regulation of osteoblast differentiation	3488; 4208; 4921; 25819	ENSG00000162733; ENSG00000151014; ENSG00000115461; ENSG00000081189	108	76
0.00319234079282	0.148401510286	GO:0021692	b	3	cerebellar Purkinje cell layer morphogenesis	51286; 64211	ENSG00000089116; ENSG00000184524	15	11
0.00322346863767	0.145307828805	GO:0030279	b	5	negative regulation of ossification	3488; 4208; 25819	ENSG00000151014; ENSG00000115461; ENSG00000081189	70	38
0.00339203452083	0.148401510286	GO:0033002	b	3	muscle cell proliferation	3084; 3488; 4208; 1839	ENSG00000113070; ENSG00000115461; ENSG00000081189; ENSG00000157168	138	79
0.00405142696542	0.318712254613	GO:0007416	b	4	synapse assembly	3084; 4208; 139065; 94030	ENSG00000179542; ENSG00000131409; ENSG00000081189; ENSG00000157168	129	83
0.00448140629673	0.145307828805	GO:0043496	b	5	regulation of protein homodimerization activity	3084; 4208	ENSG00000081189; ENSG00000157168	18	13
0.00588973243369	0.347494213588	GO:0051963	b	4	regulation of synapse assembly	4208; 139065; 94030	ENSG00000131409; ENSG00000081189; ENSG00000179542	75	47
0.00597155460842	0.209004411295	GO:0021697	b	3	cerebellar cortex formation	51286; 64211	ENSG00000089116; ENSG00000184524	22	15
0.00597155460842	0.145307828805	GO:0019228	b	5	neuronal action potential	2898; 79784	ENSG00000164418; ENSG00000105357	33	15
0.00597155460842	0.145307828805	GO:0060043	b	5	regulation of cardiac muscle cell proliferation	3084; 4208	ENSG00000081189; ENSG00000157168	31	15
0.00597155460842	0.145307828805	GO:0021533	b	5	cell differentiation in hindbrain	51286; 64211	ENSG00000089116; ENSG00000184524	25	15
0.00597155460842	0.101516428343	GO:0031624	m	5	ubiquitin conjugating enzyme binding	2898; 285671	ENSG00000164418; ENSG00000164197	19	15
0.00765633022181	0.120420058472	GO:0044390	m	4	ubiquitin-like protein conjugating enzyme binding	2898; 285671	ENSG00000164418; ENSG00000164197	21	17
0.00781859052817	0.163073459588	GO:0002244	b	5	hematopoietic progenitor cell differentiation	164668; 4208; 4585; 168002	ENSG00000145113; ENSG00000100298; ENSG00000081189; ENSG00000164488	158	100
0.00866102382211	0.369968873304	GO:0030278	b	4	regulation of ossification	3488; 4208; 4921; 25819	ENSG00000162733; ENSG00000151014; ENSG00000115461; ENSG00000081189	178	103
