p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000165802021389	0.00364764447056	GO:0043169	m	3	cation binding	164668; 1356; 3352; 4499; 4811; 4935; 6935; 7447; 7587; 7678; 9156; 79752; 342892; 113835; 147660; 84527; 374899; 55561; 22873; 285440; 91975; 388536; 389549; 11083; 63934; 120114	ENSG00000134874; ENSG00000174371; ENSG00000185869; ENSG00000197134; ENSG00000179546; ENSG00000171219; ENSG00000047457; ENSG00000101191; ENSG00000145476; ENSG00000145908; ENSG00000267041; ENSG00000258405; ENSG00000075407; ENSG00000196418; ENSG00000101850; ENSG00000100298; ENSG00000188321; ENSG00000148516; ENSG00000205364; ENSG00000198046; ENSG00000116962; ENSG00000128610; ENSG00000165323; ENSG00000197863; ENSG00000163032; ENSG00000104231	4204	2878
0.00100736041501	0.0191398478852	GO:0046872	m	4	metal ion binding	164668; 1356; 4499; 4811; 6935; 7447; 7587; 7678; 9156; 79752; 342892; 113835; 147660; 84527; 374899; 120114; 55561; 22873; 285440; 91975; 388536; 389549; 11083; 63934	ENSG00000134874; ENSG00000174371; ENSG00000185869; ENSG00000197134; ENSG00000171219; ENSG00000047457; ENSG00000101191; ENSG00000145476; ENSG00000145908; ENSG00000267041; ENSG00000258405; ENSG00000075407; ENSG00000196418; ENSG00000100298; ENSG00000188321; ENSG00000148516; ENSG00000205364; ENSG00000198046; ENSG00000116962; ENSG00000128610; ENSG00000165323; ENSG00000197863; ENSG00000163032; ENSG00000104231	4109	2838
0.00151408990031	0.0136268091028	GO:0004930	m	5	G-protein coupled receptor activity	3352; 4935; 221188; 84634	ENSG00000101850; ENSG00000179546; ENSG00000159618; ENSG00000116014	883	107
0.00271092450089	0.0226072064886	GO:0004888	m	4	transmembrane signaling receptor activity	1364; 3352; 3590; 4935; 221188; 84634	ENSG00000101850; ENSG00000189143; ENSG00000116014; ENSG00000179546; ENSG00000159618; ENSG00000137070	1272	303
0.00504711433054	0.0227120144874	GO:0008528	m	5	G-protein coupled peptide receptor activity	4935; 84634	ENSG00000101850; ENSG00000116014	133	23
0.00548960645801	0.0226072064886	GO:0030594	m	4	neurotransmitter receptor activity	4935; 84634	ENSG00000101850; ENSG00000116014	94	24
0.00564180072536	0.0620598079789	GO:0038023	m	3	signaling receptor activity	1364; 3352; 3590; 4935; 221188; 84634	ENSG00000101850; ENSG00000189143; ENSG00000116014; ENSG00000179546; ENSG00000159618; ENSG00000137070	1372	352
0.00594926486542	0.0226072064886	GO:0070405	m	4	ammonium ion binding	3352; 4935	ENSG00000101850; ENSG00000179546	74	25
0.00594926486542	0.0226072064886	GO:0001653	m	4	peptide receptor activity	4935; 84634	ENSG00000101850; ENSG00000116014	137	25
0.00629550842461	0.230692133883	GO:0051960	b	5	regulation of nervous system development	3084; 6935; 139065; 120114; 23111; 57118; 389549	ENSG00000157168; ENSG00000128610; ENSG00000165323; ENSG00000148516; ENSG00000179542; ENSG00000133104; ENSG00000183049	694	477
0.00772839955982	0.0878822502004	GO:0043167	m	2	ion binding	164668; 1356; 3352; 4499; 4811; 4935; 55655; 6935; 7447; 7587; 7678; 9156; 79752; 342892; 113835; 147660; 51100; 84527; 374899; 55561; 22873; 285440; 57118; 91975; 388536; 389549; 11083; 63934; 120114	ENSG00000134874; ENSG00000174371; ENSG00000185869; ENSG00000197134; ENSG00000179546; ENSG00000171219; ENSG00000047457; ENSG00000101191; ENSG00000145476; ENSG00000022556; ENSG00000145908; ENSG00000267041; ENSG00000197863; ENSG00000258405; ENSG00000075407; ENSG00000196418; ENSG00000101850; ENSG00000100298; ENSG00000188321; ENSG00000148516; ENSG00000205364; ENSG00000198046; ENSG00000183049; ENSG00000116962; ENSG00000128610; ENSG00000165323; ENSG00000097033; ENSG00000163032; ENSG00000104231	6117	4256
0.00840397263228	0.230692133883	GO:0051147	b	5	regulation of muscle cell differentiation	3084; 6935; 91653	ENSG00000148516; ENSG00000157168; ENSG00000144857	151	90
0.00922768535532	0.230692133883	GO:0051962	b	5	positive regulation of nervous system development	3084; 6935; 139065; 57118; 389549	ENSG00000148516; ENSG00000128610; ENSG00000179542; ENSG00000157168; ENSG00000183049	415	278
