p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000177419310321	0.0259032193069	GO:0048669	b	5	collateral sprouting in absence of injury	23111; 23242	ENSG00000133104; ENSG00000106078	5	3
0.00028323167607	0.0608948103551	GO:0048668	b	4	collateral sprouting	1382; 23111; 23242	ENSG00000143320; ENSG00000133104; ENSG00000106078	22	17
0.000915967609484	0.0311428987224	GO:0070405	m	4	ammonium ion binding	3352; 4935; 27243	ENSG00000101850; ENSG00000179546; ENSG00000130724	74	25
0.00209223104188	0.0732280864658	GO:0043169	m	3	cation binding	1301; 2966; 3352; 3423; 4811; 4935; 6935; 55785; 7447; 7587; 7627; 7678; 8470; 9156; 10346; 10771; 342892; 147660; 199704; 84527; 55561; 22873; 285440; 285672; 57209; 57541; 57674; 91975; 27243; 388536; 389549; 128387; 390927; 11083; 120114	ENSG00000060718; ENSG00000010404; ENSG00000174371; ENSG00000196418; ENSG00000130724; ENSG00000179546; ENSG00000134874; ENSG00000154556; ENSG00000171219; ENSG00000196967; ENSG00000101191; ENSG00000145476; ENSG00000145736; ENSG00000145908; ENSG00000267041; ENSG00000162086; ENSG00000258405; ENSG00000075407; ENSG00000198105; ENSG00000132274; ENSG00000101850; ENSG00000173821; ENSG00000188321; ENSG00000188227; ENSG00000203705; ENSG00000148516; ENSG00000153006; ENSG00000128610; ENSG00000165323; ENSG00000197863; ENSG00000015171; ENSG00000180263; ENSG00000163032; ENSG00000116962; ENSG00000197024	4204	2878
0.00246480228006	0.191630333478	GO:0060419	b	4	heart growth	1848; 3084; 8470	ENSG00000154556; ENSG00000139318; ENSG00000157168	65	35
0.00267391162993	0.191630333478	GO:0009880	b	4	embryonic pattern specification	5015; 84976; 23242	ENSG00000165588; ENSG00000106078; ENSG00000154309	63	36
0.00336574763393	0.178368131391	GO:0006026	b	5	aminoglycan catabolic process	2990; 3423; 138050	ENSG00000010404; ENSG00000165102; ENSG00000169919	68	39
0.00438568094446	0.414549507435	GO:0021756	b	3	striatum development	583; 26047	ENSG00000125124; ENSG00000174469	17	13
0.00438568094446	0.178368131391	GO:0016338	b	5	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	1364; 1366	ENSG00000189143; ENSG00000181885	24	13
0.00509092966258	0.414549507435	GO:0021544	b	3	subpallium development	583; 26047	ENSG00000125124; ENSG00000174469	23	14
