p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000214790708634	0.0124578611008	GO:0030529	c	2	ribonucleoprotein complex	164668; 116541; 1965; 2058; 4736; 4869; 5511; 5685; 6150; 6159; 6189; 6201; 6637; 6936; 7072; 8668; 9349; 9553; 10283; 51602; 79736; 54148; 55651; 55759; 25879; 60488; 28957; 128308	ENSG00000117751; ENSG00000243147; ENSG00000055044; ENSG00000084623; ENSG00000162244; ENSG00000041357; ENSG00000164934; ENSG00000153015; ENSG00000143977; ENSG00000147586; ENSG00000214026; ENSG00000172171; ENSG00000134001; ENSG00000154719; ENSG00000162910; ENSG00000125691; ENSG00000100298; ENSG00000136628; ENSG00000145425; ENSG00000181163; ENSG00000005436; ENSG00000183617; ENSG00000145912; ENSG00000198755; ENSG00000116001; ENSG00000171863; ENSG00000138442; ENSG00000061794	703	638
0.000236368307928	0.0969110062505	GO:0044271	b	4	cellular nitrogen compound biosynthetic process	142; 384; 65982; 539; 689; 1349; 1382; 1789; 1933; 1965; 2058; 2966; 2987; 3084; 199704; 3148; 200014; 3654; 4666; 4736; 4953; 5015; 5087; 5511; 5901; 6150; 6159; 6189; 6201; 6605; 6637; 6746; 6894; 6935; 6936; 7072; 7566; 7587; 7627; 7678; 7753; 8089; 8668; 8725; 9232; 7001; 9349; 9470; 9474; 9553; 9636; 9960; 9967; 10346; 10606; 10614; 10629; 10771; 10962; 51142; 2055; 79576; 79736; 51629; 4869; 342892; 441478; 113835; 81856; 147660; 116541; 84146; 51742; 84527; 374899; 54148; 54205; 55157; 22809; 23118; 57118; 57209; 57541; 91975; 387893; 60488; 388536; 28957; 389549; 128308; 390927; 11083; 63934; 64216; 129787; 10745; 162967; 162972; 163227	ENSG00000117751; ENSG00000196418; ENSG00000122482; ENSG00000213190; ENSG00000145736; ENSG00000147586; ENSG00000117593; ENSG00000057663; ENSG00000134001; ENSG00000169136; ENSG00000106153; ENSG00000188227; ENSG00000105176; ENSG00000145425; ENSG00000251369; ENSG00000197863; ENSG00000183955; ENSG00000143774; ENSG00000165588; ENSG00000115758; ENSG00000196967; ENSG00000164611; ENSG00000163479; ENSG00000143977; ENSG00000127337; ENSG00000143320; ENSG00000198435; ENSG00000172115; ENSG00000088305; ENSG00000073584; ENSG00000258405; ENSG00000075407; ENSG00000154222; ENSG00000151353; ENSG00000162910; ENSG00000125691; ENSG00000054267; ENSG00000188321; ENSG00000143799; ENSG00000182372; ENSG00000114942; ENSG00000183049; ENSG00000128610; ENSG00000148516; ENSG00000187608; ENSG00000162851; ENSG00000171863; ENSG00000081181; ENSG00000132341; ENSG00000197024; ENSG00000101882; ENSG00000197134; ENSG00000241837; ENSG00000059588; ENSG00000162227; ENSG00000164104; ENSG00000214026; ENSG00000121413; ENSG00000172171; ENSG00000267041; ENSG00000084623; ENSG00000198105; ENSG00000054118; ENSG00000135930; ENSG00000136628; ENSG00000145741; ENSG00000181163; ENSG00000183617; ENSG00000140455; ENSG00000198755; ENSG00000197020; ENSG00000061794; ENSG00000243147; ENSG00000185630; ENSG00000185869; ENSG00000166261; ENSG00000157168; ENSG00000162244; ENSG00000101191; ENSG00000186834; ENSG00000145908; ENSG00000167815; ENSG00000198046; ENSG00000128050; ENSG00000116793; ENSG00000116001; ENSG00000131174; ENSG00000154719; ENSG00000055208; ENSG00000182986; ENSG00000132274; ENSG00000013306; ENSG00000154957; ENSG00000213020; ENSG00000005436; ENSG00000015171; ENSG00000184216; ENSG00000162086; ENSG00000196531	4727	3434
0.000308127948323	0.077340115029	GO:0006413	b	3	translational initiation	116541; 1965; 4736; 6150; 6159; 6189; 6201; 8668; 9349; 9470; 9553; 54148; 60488; 28957; 128308	ENSG00000125691; ENSG00000145425; ENSG00000243147; ENSG00000214026; ENSG00000183617; ENSG00000135930; ENSG00000084623; ENSG00000134001; ENSG00000198755; ENSG00000147586; ENSG00000171863; ENSG00000162244; ENSG00000154719; ENSG00000162910; ENSG00000061794	264	251
0.00038261141115	0.0813549933965	GO:0006414	b	5	translational elongation	1933; 4736; 6150; 6159; 6189; 6201; 9349; 9553; 116541; 54148; 60488; 28957; 128308	ENSG00000125691; ENSG00000145425; ENSG00000243147; ENSG00000214026; ENSG00000183617; ENSG00000114942; ENSG00000198755; ENSG00000147586; ENSG00000171863; ENSG00000162244; ENSG00000154719; ENSG00000162910; ENSG00000061794	216	202
0.000483418581854	0.0352895564753	GO:0005840	c	3	ribosome	116541; 1965; 4736; 6150; 6159; 6189; 6201; 9349; 9553; 54148; 60488; 28957; 128308	ENSG00000125691; ENSG00000145425; ENSG00000243147; ENSG00000214026; ENSG00000183617; ENSG00000134001; ENSG00000198755; ENSG00000147586; ENSG00000171863; ENSG00000162244; ENSG00000154719; ENSG00000162910; ENSG00000061794	230	207
0.00049975404854	0.0309847510095	GO:0003676	m	3	nucleic acid binding	142; 65982; 689; 1789; 116541; 1933; 1965; 2058; 2224; 2966; 3148; 200014; 4666; 4736; 4869; 5087; 5511; 5901; 6150; 6159; 6189; 6201; 6605; 6637; 6894; 6935; 6936; 7072; 7566; 7587; 7627; 7678; 7753; 8089; 8470; 8668; 9156; 9349; 9470; 9790; 9967; 10614; 10629; 10771; 51142; 79169; 79576; 79728; 342892; 113835; 81856; 147660; 199704; 84146; 51602; 51742; 84527; 374899; 79736; 8334; 54148; 55105; 55157; 55320; 22809; 55651; 285672; 57209; 221143; 57541; 25879; 91975; 26993; 60488; 388536; 28957; 163227; 389549; 5015; 390927; 11083; 63934; 64216; 129787; 10745; 162967; 162972	ENSG00000117751; ENSG00000164934; ENSG00000196418; ENSG00000122482; ENSG00000145736; ENSG00000147586; ENSG00000117593; ENSG00000134001; ENSG00000055044; ENSG00000169136; ENSG00000106153; ENSG00000188227; ENSG00000145425; ENSG00000083093; ENSG00000251369; ENSG00000197863; ENSG00000165733; ENSG00000174371; ENSG00000084623; ENSG00000196967; ENSG00000143977; ENSG00000127337; ENSG00000129534; ENSG00000180573; ENSG00000088305; ENSG00000073584; ENSG00000258405; ENSG00000075407; ENSG00000154222; ENSG00000151353; ENSG00000125691; ENSG00000054267; ENSG00000188321; ENSG00000143799; ENSG00000153006; ENSG00000143793; ENSG00000128610; ENSG00000148516; ENSG00000162851; ENSG00000171863; ENSG00000132341; ENSG00000197024; ENSG00000011243; ENSG00000101882; ENSG00000197134; ENSG00000059588; ENSG00000162227; ENSG00000164104; ENSG00000214026; ENSG00000121413; ENSG00000172171; ENSG00000150456; ENSG00000267041; ENSG00000165588; ENSG00000198105; ENSG00000054118; ENSG00000135930; ENSG00000136628; ENSG00000145741; ENSG00000181163; ENSG00000183617; ENSG00000198755; ENSG00000197020; ENSG00000061794; ENSG00000185630; ENSG00000160752; ENSG00000185869; ENSG00000092978; ENSG00000166261; ENSG00000154556; ENSG00000162244; ENSG00000101191; ENSG00000186834; ENSG00000145908; ENSG00000198046; ENSG00000116793; ENSG00000116001; ENSG00000154719; ENSG00000182986; ENSG00000114942; ENSG00000154957; ENSG00000213020; ENSG00000005436; ENSG00000145912; ENSG00000015171; ENSG00000162086; ENSG00000196531	3996	2983
0.000789785294416	0.0813549933965	GO:0043604	b	5	amide biosynthetic process	384; 1933; 1965; 2058; 2966; 4666; 4736; 6150; 6159; 6189; 6201; 6746; 7072; 8668; 9349; 9470; 9553; 2055; 4869; 116541; 54148; 55157; 60488; 28957; 128308	ENSG00000243147; ENSG00000084623; ENSG00000162244; ENSG00000163479; ENSG00000145736; ENSG00000147586; ENSG00000214026; ENSG00000117593; ENSG00000134001; ENSG00000154719; ENSG00000162910; ENSG00000125691; ENSG00000135930; ENSG00000114942; ENSG00000182372; ENSG00000136628; ENSG00000145425; ENSG00000181163; ENSG00000183617; ENSG00000198755; ENSG00000116001; ENSG00000171863; ENSG00000081181; ENSG00000061794; ENSG00000196531	679	590
0.000809154635207	0.125542845258	GO:0007005	b	4	mitochondrion organization	142; 1965; 3084; 6150; 9474; 9553; 9804; 10962; 2055; 79576; 79736; 79784; 116541; 51100; 54148; 54205; 55157; 23788; 89978; 91653; 60488; 28957; 128308; 64216; 196294	ENSG00000243147; ENSG00000172115; ENSG00000101882; ENSG00000213190; ENSG00000157168; ENSG00000147586; ENSG00000214026; ENSG00000117593; ENSG00000057663; ENSG00000134001; ENSG00000148950; ENSG00000134146; ENSG00000162910; ENSG00000173726; ENSG00000144857; ENSG00000109919; ENSG00000105357; ENSG00000182372; ENSG00000154719; ENSG00000183617; ENSG00000143799; ENSG00000097033; ENSG00000162851; ENSG00000172171; ENSG00000061794	695	591
0.000932795108564	0.0813549933965	GO:0006412	b	5	translation	1933; 1965; 2058; 2966; 4666; 4736; 6150; 6159; 6189; 6201; 6746; 7072; 8668; 9349; 9470; 9553; 4869; 116541; 54148; 55157; 60488; 28957; 128308	ENSG00000243147; ENSG00000084623; ENSG00000162244; ENSG00000163479; ENSG00000145736; ENSG00000147586; ENSG00000214026; ENSG00000117593; ENSG00000134001; ENSG00000154719; ENSG00000162910; ENSG00000125691; ENSG00000135930; ENSG00000114942; ENSG00000136628; ENSG00000145425; ENSG00000181163; ENSG00000183617; ENSG00000198755; ENSG00000116001; ENSG00000171863; ENSG00000196531; ENSG00000061794	589	530
0.00132335451309	0.125542845258	GO:0006518	b	4	peptide metabolic process	1192; 1933; 1965; 2058; 2941; 2966; 4666; 4736; 6150; 6159; 6189; 6201; 6746; 7072; 8668; 9349; 9470; 9553; 4869; 116541; 54148; 55157; 60488; 28957; 128308	ENSG00000243147; ENSG00000084623; ENSG00000213719; ENSG00000162244; ENSG00000163479; ENSG00000170899; ENSG00000145736; ENSG00000147586; ENSG00000214026; ENSG00000117593; ENSG00000134001; ENSG00000154719; ENSG00000162910; ENSG00000125691; ENSG00000135930; ENSG00000114942; ENSG00000136628; ENSG00000145425; ENSG00000181163; ENSG00000183617; ENSG00000198755; ENSG00000116001; ENSG00000171863; ENSG00000061794; ENSG00000196531	732	612
