p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.15098132074e-05	0.00933525893201	GO:0070482	b	3	response to oxygen levels	81; 133; 207; 55662; 472; 664; 817; 824; 857; 891; 1026; 1490; 1958; 2068; 3163; 3708; 3939; 4508; 4519; 4540; 5163; 5228; 5465; 6261; 6781; 7010; 7057; 7249; 7351; 7436; 10533; 79723; 50507; 54541; 23409; 26355	ENSG00000104884; ENSG00000168209; ENSG00000166135; ENSG00000145349; ENSG00000176171; ENSG00000152256; ENSG00000086991; ENSG00000186951; ENSG00000175567; ENSG00000130402; ENSG00000198727; ENSG00000150995; ENSG00000142208; ENSG00000124762; ENSG00000149311; ENSG00000089163; ENSG00000197548; ENSG00000103415; ENSG00000198786; ENSG00000159167; ENSG00000152455; ENSG00000196218; ENSG00000118523; ENSG00000119630; ENSG00000198899; ENSG00000114023; ENSG00000148926; ENSG00000105974; ENSG00000134333; ENSG00000103197; ENSG00000120738; ENSG00000137801; ENSG00000162909; ENSG00000120156; ENSG00000134057; ENSG00000147852	302	212
7.58524532087e-05	0.0637919131485	GO:0036293	b	4	response to decreased oxygen levels	81; 133; 207; 55662; 472; 664; 817; 824; 857; 891; 1490; 1958; 2068; 3163; 3708; 3939; 4519; 4540; 5163; 5228; 5465; 6261; 6781; 7010; 7057; 7249; 7351; 7436; 79723; 50507; 54541; 23409; 26355	ENSG00000104884; ENSG00000166135; ENSG00000145349; ENSG00000176171; ENSG00000152256; ENSG00000086991; ENSG00000186951; ENSG00000175567; ENSG00000168209; ENSG00000198727; ENSG00000150995; ENSG00000142208; ENSG00000130402; ENSG00000149311; ENSG00000089163; ENSG00000103415; ENSG00000198786; ENSG00000159167; ENSG00000152455; ENSG00000196218; ENSG00000118523; ENSG00000119630; ENSG00000114023; ENSG00000148926; ENSG00000105974; ENSG00000134333; ENSG00000103197; ENSG00000120738; ENSG00000137801; ENSG00000162909; ENSG00000120156; ENSG00000134057; ENSG00000147852	281	199
0.000107503368599	0.023328230986	GO:0001666	b	3	response to hypoxia	81; 133; 207; 55662; 472; 664; 817; 824; 857; 891; 1958; 2068; 3163; 3708; 3939; 4519; 4540; 5163; 5228; 5465; 6261; 6781; 7010; 7057; 7249; 7351; 7436; 79723; 50507; 54541; 23409; 26355	ENSG00000104884; ENSG00000166135; ENSG00000145349; ENSG00000176171; ENSG00000152256; ENSG00000086991; ENSG00000186951; ENSG00000175567; ENSG00000168209; ENSG00000198727; ENSG00000150995; ENSG00000142208; ENSG00000130402; ENSG00000149311; ENSG00000089163; ENSG00000103415; ENSG00000198786; ENSG00000159167; ENSG00000152455; ENSG00000196218; ENSG00000147852; ENSG00000119630; ENSG00000114023; ENSG00000148926; ENSG00000105974; ENSG00000134333; ENSG00000103197; ENSG00000120738; ENSG00000137801; ENSG00000162909; ENSG00000120156; ENSG00000134057	276	194
0.00027250495883	0.0174403173651	GO:0016529	c	5	sarcoplasmic reticulum	286; 811; 817; 1760; 3270; 3708; 6261; 7057; 7060; 10335; 55151	ENSG00000150995; ENSG00000113296; ENSG00000095209; ENSG00000179218; ENSG00000104936; ENSG00000145349; ENSG00000137801; ENSG00000029534; ENSG00000196218; ENSG00000072952; ENSG00000130528	62	40
0.000553357790601	0.0586559258037	GO:0030229	m	5	very-low-density lipoprotein particle receptor activity	3949; 7436; 7804	ENSG00000157193; ENSG00000130164; ENSG00000147852	4	3
0.00059408798977	0.0801885917101	GO:0071674	b	3	mononuclear cell migration	3958; 5919; 7057; 9353	ENSG00000145147; ENSG00000131981; ENSG00000137801; ENSG00000106538	16	6
0.00059408798977	0.246496614159	GO:0071675	b	5	regulation of mononuclear cell migration	3958; 5919; 7057; 9353	ENSG00000145147; ENSG00000131981; ENSG00000137801; ENSG00000106538	14	6
0.000598820602146	0.126770561046	GO:1901264	b	4	carbohydrate derivative transport	284439; 3177; 55508; 7436; 8737; 11046; 51006; 23443; 26503; 29957	ENSG00000130958; ENSG00000080189; ENSG00000137275; ENSG00000174669; ENSG00000175782; ENSG00000119899; ENSG00000147852; ENSG00000085491; ENSG00000181035; ENSG00000117620	50	37
0.000658201906968	0.246496614159	GO:0006285	b	5	base-excision repair, AP site formation	4350; 4968; 79661; 23583; 252969	ENSG00000103152; ENSG00000123415; ENSG00000114026; ENSG00000140398; ENSG00000154328	10	10
0.000713333825537	0.126770561046	GO:0071241	b	4	cellular response to inorganic substance	664; 706; 811; 817; 891; 1785; 1800; 2353; 2354; 3077; 3727; 4501; 4502; 4884; 4968; 7057; 29957	ENSG00000187193; ENSG00000114026; ENSG00000010704; ENSG00000179218; ENSG00000145349; ENSG00000176171; ENSG00000100300; ENSG00000171246; ENSG00000015413; ENSG00000137801; ENSG00000125740; ENSG00000125148; ENSG00000130522; ENSG00000170345; ENSG00000085491; ENSG00000134057; ENSG00000079805	141	88
