"","p-value"
"ENSG00000175756",0
"ENSG00000162585",0
"ENSG00000116670",0
"ENSG00000117318",0
"ENSG00000214026",0
"ENSG00000167996",0
"ENSG00000136003",0
"ENSG00000126777",0
"ENSG00000100664",0
"ENSG00000178741",0
"ENSG00000177971",0
"ENSG00000185551",0
"ENSG00000074071",0
"ENSG00000140988",0
"ENSG00000140941",0
"ENSG00000167526",0
"ENSG00000108518",0
"ENSG00000141027",0
"ENSG00000013306",0
"ENSG00000099817",0
"ENSG00000167468",0
"ENSG00000099800",0
"ENSG00000181029",0
"ENSG00000099783",0
"ENSG00000179271",0
"ENSG00000130520",0
"ENSG00000105669",0
"ENSG00000169021",0
"ENSG00000130748",0
"ENSG00000125835",0
"ENSG00000125977",0
"ENSG00000171222",0
"ENSG00000244274",0
"ENSG00000205581",0
"ENSG00000099901",0
"ENSG00000240972",0
"ENSG00000069849",0
"ENSG00000169230",0
"ENSG00000225921",0
"ENSG00000239857",0
"ENSG00000176349",0
"ENSG00000182154",0
"ENSG00000161960",1e-04
"ENSG00000167004",2e-04
"ENSG00000101182",2e-04
"ENSG00000163382",3e-04
"ENSG00000090905",3e-04
"ENSG00000100462",4e-04
"ENSG00000146731",4e-04
"ENSG00000198668",5e-04
"ENSG00000187260",5e-04
"ENSG00000130311",6e-04
"ENSG00000130203",6e-04
"ENSG00000158716",7e-04
"ENSG00000103266",7e-04
"ENSG00000172270",7e-04
"ENSG00000105726",7e-04
"ENSG00000101199",7e-04
"ENSG00000160200",7e-04
"ENSG00000124795",7e-04
"ENSG00000204569",7e-04
"ENSG00000014216",9e-04
"ENSG00000121350",0.0011
"ENSG00000100593",0.0011
"ENSG00000157890",0.0011
"ENSG00000258947",0.0011
"ENSG00000237521",0.0011
"ENSG00000168026",0.0011
"ENSG00000206503",0.0012
"ENSG00000158856",0.0012
"ENSG00000187840",0.0012
"ENSG00000164610",0.0013
"ENSG00000267985",0.0013
"ENSG00000139372",0.0014
"ENSG00000117122",0.0017
"ENSG00000122176",0.0017
