"","p-value"
"ERCC-00092",0.036
"ERCC-00111",0.044
"ERCC-00043",0.081
"ERCC-00060",0.107
"ERCC-00025",0.159
"ERCC-00004",0.218
"ERCC-00042",0.266
"ERCC-00074",0.276
"ERCC-00130",0.288
"ERCC-00003",0.317
"ERCC-00171",0.347
"ERCC-00095",0.354
"ERCC-00131",0.404
"ERCC-00136",0.44
"ERCC-00108",0.464
"ERCC-00113",0.485
"ERCC-00112",0.502
"ERCC-00044",0.538
"ERCC-00062",0.625
"ERCC-00022",0.627
"ERCC-00076",0.646
"ERCC-00145",0.7
"ERCC-00035",0.773
"ERCC-00009",0.778
"ERCC-00002",0.844
"ERCC-00096",0.909
"ERCC-00046",0.978
