	individual	replicate	well	batch	sample_id
1	NA19098	r1	A01	NA19098.r1	NA19098.r1.A01
2	NA19098	r1	A02	NA19098.r1	NA19098.r1.A02
3	NA19098	r1	A04	NA19098.r1	NA19098.r1.A04
4	NA19098	r1	A05	NA19098.r1	NA19098.r1.A05
5	NA19098	r1	A06	NA19098.r1	NA19098.r1.A06
6	NA19098	r1	A07	NA19098.r1	NA19098.r1.A07
7	NA19098	r1	A08	NA19098.r1	NA19098.r1.A08
8	NA19098	r1	A09	NA19098.r1	NA19098.r1.A09
9	NA19098	r1	A10	NA19098.r1	NA19098.r1.A10
10	NA19098	r1	A11	NA19098.r1	NA19098.r1.A11
11	NA19098	r1	A12	NA19098.r1	NA19098.r1.A12
12	NA19098	r1	B01	NA19098.r1	NA19098.r1.B01
13	NA19098	r1	B02	NA19098.r1	NA19098.r1.B02
14	NA19098	r1	B03	NA19098.r1	NA19098.r1.B03
15	NA19098	r1	B05	NA19098.r1	NA19098.r1.B05
16	NA19098	r1	B06	NA19098.r1	NA19098.r1.B06
17	NA19098	r1	B07	NA19098.r1	NA19098.r1.B07
18	NA19098	r1	B08	NA19098.r1	NA19098.r1.B08
19	NA19098	r1	B09	NA19098.r1	NA19098.r1.B09
20	NA19098	r1	B11	NA19098.r1	NA19098.r1.B11
21	NA19098	r1	B12	NA19098.r1	NA19098.r1.B12
22	NA19098	r1	C01	NA19098.r1	NA19098.r1.C01
23	NA19098	r1	C02	NA19098.r1	NA19098.r1.C02
24	NA19098	r1	C03	NA19098.r1	NA19098.r1.C03
25	NA19098	r1	C04	NA19098.r1	NA19098.r1.C04
26	NA19098	r1	C05	NA19098.r1	NA19098.r1.C05
27	NA19098	r1	C06	NA19098.r1	NA19098.r1.C06
28	NA19098	r1	C07	NA19098.r1	NA19098.r1.C07
29	NA19098	r1	C08	NA19098.r1	NA19098.r1.C08
30	NA19098	r1	C09	NA19098.r1	NA19098.r1.C09
31	NA19098	r1	C10	NA19098.r1	NA19098.r1.C10
32	NA19098	r1	C11	NA19098.r1	NA19098.r1.C11
33	NA19098	r1	C12	NA19098.r1	NA19098.r1.C12
34	NA19098	r1	D01	NA19098.r1	NA19098.r1.D01
35	NA19098	r1	D02	NA19098.r1	NA19098.r1.D02
36	NA19098	r1	D03	NA19098.r1	NA19098.r1.D03
37	NA19098	r1	D04	NA19098.r1	NA19098.r1.D04
38	NA19098	r1	D06	NA19098.r1	NA19098.r1.D06
39	NA19098	r1	D08	NA19098.r1	NA19098.r1.D08
40	NA19098	r1	D09	NA19098.r1	NA19098.r1.D09
41	NA19098	r1	D10	NA19098.r1	NA19098.r1.D10
42	NA19098	r1	D11	NA19098.r1	NA19098.r1.D11
43	NA19098	r1	D12	NA19098.r1	NA19098.r1.D12
44	NA19098	r1	E01	NA19098.r1	NA19098.r1.E01
45	NA19098	r1	E02	NA19098.r1	NA19098.r1.E02
46	NA19098	r1	E03	NA19098.r1	NA19098.r1.E03
47	NA19098	r1	E05	NA19098.r1	NA19098.r1.E05
48	NA19098	r1	E06	NA19098.r1	NA19098.r1.E06
49	NA19098	r1	E07	NA19098.r1	NA19098.r1.E07
50	NA19098	r1	E08	NA19098.r1	NA19098.r1.E08
51	NA19098	r1	E09	NA19098.r1	NA19098.r1.E09
52	NA19098	r1	E10	NA19098.r1	NA19098.r1.E10
53	NA19098	r1	E11	NA19098.r1	NA19098.r1.E11
54	NA19098	r1	E12	NA19098.r1	NA19098.r1.E12
55	NA19098	r1	F01	NA19098.r1	NA19098.r1.F01
56	NA19098	r1	F02	NA19098.r1	NA19098.r1.F02
57	NA19098	r1	F03	NA19098.r1	NA19098.r1.F03
58	NA19098	r1	F07	NA19098.r1	NA19098.r1.F07
59	NA19098	r1	F08	NA19098.r1	NA19098.r1.F08
60	NA19098	r1	F09	NA19098.r1	NA19098.r1.F09
61	NA19098	r1	F10	NA19098.r1	NA19098.r1.F10
62	NA19098	r1	F11	NA19098.r1	NA19098.r1.F11
63	NA19098	r1	F12	NA19098.r1	NA19098.r1.F12
64	NA19098	r1	G01	NA19098.r1	NA19098.r1.G01
65	NA19098	r1	G02	NA19098.r1	NA19098.r1.G02
66	NA19098	r1	G03	NA19098.r1	NA19098.r1.G03
67	NA19098	r1	G04	NA19098.r1	NA19098.r1.G04
68	NA19098	r1	G05	NA19098.r1	NA19098.r1.G05
69	NA19098	r1	G06	NA19098.r1	NA19098.r1.G06
70	NA19098	r1	G07	NA19098.r1	NA19098.r1.G07
71	NA19098	r1	G08	NA19098.r1	NA19098.r1.G08
72	NA19098	r1	G09	NA19098.r1	NA19098.r1.G09
73	NA19098	r1	G10	NA19098.r1	NA19098.r1.G10
74	NA19098	r1	G11	NA19098.r1	NA19098.r1.G11
75	NA19098	r1	G12	NA19098.r1	NA19098.r1.G12
76	NA19098	r1	H01	NA19098.r1	NA19098.r1.H01
77	NA19098	r1	H02	NA19098.r1	NA19098.r1.H02
78	NA19098	r1	H03	NA19098.r1	NA19098.r1.H03
79	NA19098	r1	H04	NA19098.r1	NA19098.r1.H04
80	NA19098	r1	H05	NA19098.r1	NA19098.r1.H05
81	NA19098	r1	H06	NA19098.r1	NA19098.r1.H06
82	NA19098	r1	H07	NA19098.r1	NA19098.r1.H07
83	NA19098	r1	H10	NA19098.r1	NA19098.r1.H10
84	NA19098	r1	H11	NA19098.r1	NA19098.r1.H11
85	NA19098	r1	H12	NA19098.r1	NA19098.r1.H12
86	NA19098	r2	A05	NA19098.r2	NA19098.r2.A05
87	NA19098	r2	A07	NA19098.r2	NA19098.r2.A07
88	NA19098	r2	B03	NA19098.r2	NA19098.r2.B03
89	NA19098	r2	B06	NA19098.r2	NA19098.r2.B06
