individual	batch	well	sample_id	full_lane
19239	1	A01	NA19239.1.A01	FALSE
19239	1	A02	NA19239.1.A02	FALSE
19239	1	A03	NA19239.1.A03	FALSE
19239	1	A04	NA19239.1.A04	FALSE
19239	1	A05	NA19239.1.A05	FALSE
19239	1	A06	NA19239.1.A06	FALSE
19239	1	A07	NA19239.1.A07	FALSE
19239	1	A08	NA19239.1.A08	FALSE
19239	1	A09	NA19239.1.A09	FALSE
19239	1	A10	NA19239.1.A10	FALSE
19239	1	A11	NA19239.1.A11	FALSE
19239	1	A12	NA19239.1.A12	FALSE
19239	1	A9E1	NA19239.1.A9E1	TRUE
19239	1	B01	NA19239.1.B01	FALSE
19239	1	B02	NA19239.1.B02	FALSE
19239	1	B03	NA19239.1.B03	FALSE
19239	1	B04	NA19239.1.B04	FALSE
19239	1	B05	NA19239.1.B05	FALSE
19239	1	B06	NA19239.1.B06	FALSE
19239	1	B07	NA19239.1.B07	FALSE
19239	1	B08	NA19239.1.B08	FALSE
19239	1	B09	NA19239.1.B09	FALSE
19239	1	B10	NA19239.1.B10	FALSE
19239	1	B11	NA19239.1.B11	FALSE
19239	1	B12	NA19239.1.B12	FALSE
19239	1	B2E2	NA19239.1.B2E2	TRUE
19239	1	B4H1	NA19239.1.B4H1	TRUE
19239	1	C01	NA19239.1.C01	FALSE
19239	1	C02	NA19239.1.C02	FALSE
19239	1	C03	NA19239.1.C03	FALSE
19239	1	C04	NA19239.1.C04	FALSE
19239	1	C05	NA19239.1.C05	FALSE
19239	1	C06	NA19239.1.C06	FALSE
19239	1	C07	NA19239.1.C07	FALSE
19239	1	C08	NA19239.1.C08	FALSE
19239	1	C09	NA19239.1.C09	FALSE
19239	1	C10	NA19239.1.C10	FALSE
19239	1	C11	NA19239.1.C11	FALSE
19239	1	C12	NA19239.1.C12	FALSE
19239	1	D01	NA19239.1.D01	FALSE
19239	1	D02	NA19239.1.D02	FALSE
19239	1	D03	NA19239.1.D03	FALSE
19239	1	D04	NA19239.1.D04	FALSE
19239	1	D05	NA19239.1.D05	FALSE
19239	1	D06	NA19239.1.D06	FALSE
19239	1	D07	NA19239.1.D07	FALSE
19239	1	D08	NA19239.1.D08	FALSE
19239	1	D09	NA19239.1.D09	FALSE
19239	1	D10	NA19239.1.D10	FALSE
19239	1	D11	NA19239.1.D11	FALSE
19239	1	D12	NA19239.1.D12	FALSE
19239	1	D2H2	NA19239.1.D2H2	TRUE
19239	1	E01	NA19239.1.E01	FALSE
19239	1	E02	NA19239.1.E02	FALSE
19239	1	E03	NA19239.1.E03	FALSE
19239	1	E04	NA19239.1.E04	FALSE
19239	1	E05	NA19239.1.E05	FALSE
19239	1	E06	NA19239.1.E06	FALSE
19239	1	E07	NA19239.1.E07	FALSE
19239	1	E08	NA19239.1.E08	FALSE
19239	1	E09	NA19239.1.E09	FALSE
19239	1	E10	NA19239.1.E10	FALSE
19239	1	E11	NA19239.1.E11	FALSE
19239	1	E12	NA19239.1.E12	FALSE
19239	1	F01	NA19239.1.F01	FALSE
19239	1	F02	NA19239.1.F02	FALSE
19239	1	F03	NA19239.1.F03	FALSE
19239	1	F04	NA19239.1.F04	FALSE
19239	1	F05	NA19239.1.F05	FALSE
19239	1	F06	NA19239.1.F06	FALSE
19239	1	F07	NA19239.1.F07	FALSE
19239	1	F08	NA19239.1.F08	FALSE
19239	1	F09	NA19239.1.F09	FALSE
19239	1	F10	NA19239.1.F10	FALSE
19239	1	F11	NA19239.1.F11	FALSE
19239	1	F12	NA19239.1.F12	FALSE
19239	1	G01	NA19239.1.G01	FALSE
19239	1	G02	NA19239.1.G02	FALSE
19239	1	G03	NA19239.1.G03	FALSE
19239	1	G04	NA19239.1.G04	FALSE
19239	1	G05	NA19239.1.G05	FALSE
19239	1	G06	NA19239.1.G06	FALSE
19239	1	G07	NA19239.1.G07	FALSE
19239	1	G08	NA19239.1.G08	FALSE
19239	1	G09	NA19239.1.G09	FALSE
19239	1	G10	NA19239.1.G10	FALSE
19239	1	G11	NA19239.1.G11	FALSE
19239	1	G12	NA19239.1.G12	FALSE
19239	1	H01	NA19239.1.H01	FALSE
19239	1	H02	NA19239.1.H02	FALSE
19239	1	H03	NA19239.1.H03	FALSE
19239	1	H04	NA19239.1.H04	FALSE
19239	1	H05	NA19239.1.H05	FALSE
19239	1	H06	NA19239.1.H06	FALSE
19239	1	H07	NA19239.1.H07	FALSE
19239	1	H08	NA19239.1.H08	FALSE
19239	1	H09	NA19239.1.H09	FALSE
19239	1	H10	NA19239.1.H10	FALSE
19239	1	H11	NA19239.1.H11	FALSE
19239	1	H12	NA19239.1.H12	FALSE
