individual	batch	well	sample_id
19098	1	A01	NA19098.1.A01
19098	1	A02	NA19098.1.A02
19098	1	A03	NA19098.1.A03
19098	1	A04	NA19098.1.A04
19098	1	A05	NA19098.1.A05
19098	1	A06	NA19098.1.A06
19098	1	A07	NA19098.1.A07
19098	1	A08	NA19098.1.A08
19098	1	A09	NA19098.1.A09
19098	1	A10	NA19098.1.A10
19098	1	A11	NA19098.1.A11
19098	1	A12	NA19098.1.A12
19098	1	B01	NA19098.1.B01
19098	1	B02	NA19098.1.B02
19098	1	B03	NA19098.1.B03
19098	1	B04	NA19098.1.B04
19098	1	B05	NA19098.1.B05
19098	1	B06	NA19098.1.B06
19098	1	B07	NA19098.1.B07
19098	1	B08	NA19098.1.B08
19098	1	B09	NA19098.1.B09
19098	1	B10	NA19098.1.B10
19098	1	B11	NA19098.1.B11
19098	1	B12	NA19098.1.B12
19098	1	C01	NA19098.1.C01
19098	1	C02	NA19098.1.C02
19098	1	C03	NA19098.1.C03
19098	1	C04	NA19098.1.C04
19098	1	C05	NA19098.1.C05
19098	1	C06	NA19098.1.C06
19098	1	C07	NA19098.1.C07
19098	1	C08	NA19098.1.C08
19098	1	C09	NA19098.1.C09
19098	1	C10	NA19098.1.C10
19098	1	C11	NA19098.1.C11
19098	1	C12	NA19098.1.C12
19098	1	D01	NA19098.1.D01
19098	1	D02	NA19098.1.D02
19098	1	D03	NA19098.1.D03
19098	1	D04	NA19098.1.D04
19098	1	D05	NA19098.1.D05
19098	1	D06	NA19098.1.D06
19098	1	D07	NA19098.1.D07
19098	1	D08	NA19098.1.D08
19098	1	D09	NA19098.1.D09
19098	1	D10	NA19098.1.D10
19098	1	D11	NA19098.1.D11
19098	1	D12	NA19098.1.D12
19098	1	E01	NA19098.1.E01
19098	1	E02	NA19098.1.E02
19098	1	E03	NA19098.1.E03
19098	1	E04	NA19098.1.E04
19098	1	E05	NA19098.1.E05
19098	1	E06	NA19098.1.E06
19098	1	E07	NA19098.1.E07
19098	1	E08	NA19098.1.E08
19098	1	E09	NA19098.1.E09
19098	1	E10	NA19098.1.E10
19098	1	E11	NA19098.1.E11
19098	1	E12	NA19098.1.E12
19098	1	F01	NA19098.1.F01
19098	1	F02	NA19098.1.F02
19098	1	F03	NA19098.1.F03
19098	1	F04	NA19098.1.F04
19098	1	F05	NA19098.1.F05
19098	1	F06	NA19098.1.F06
19098	1	F07	NA19098.1.F07
19098	1	F08	NA19098.1.F08
19098	1	F09	NA19098.1.F09
19098	1	F10	NA19098.1.F10
19098	1	F11	NA19098.1.F11
19098	1	F12	NA19098.1.F12
19098	1	G01	NA19098.1.G01
19098	1	G02	NA19098.1.G02
19098	1	G03	NA19098.1.G03
19098	1	G04	NA19098.1.G04
19098	1	G05	NA19098.1.G05
19098	1	G06	NA19098.1.G06
19098	1	G07	NA19098.1.G07
19098	1	G08	NA19098.1.G08
19098	1	G09	NA19098.1.G09
19098	1	G10	NA19098.1.G10
19098	1	G11	NA19098.1.G11
19098	1	G12	NA19098.1.G12
19098	1	H01	NA19098.1.H01
19098	1	H02	NA19098.1.H02
19098	1	H03	NA19098.1.H03
19098	1	H04	NA19098.1.H04
19098	1	H05	NA19098.1.H05
19098	1	H06	NA19098.1.H06
19098	1	H07	NA19098.1.H07
19098	1	H08	NA19098.1.H08
19098	1	H09	NA19098.1.H09
19098	1	H10	NA19098.1.H10
19098	1	H11	NA19098.1.H11
19098	1	H12	NA19098.1.H12
19098	1	bulk	NA19098.1.bulk
19098	2	A01	NA19098.2.A01
19098	2	A02	NA19098.2.A02
19098	2	A03	NA19098.2.A03
19098	2	A04	NA19098.2.A04
19098	2	A05	NA19098.2.A05
19098	2	A06	NA19098.2.A06
19098	2	A07	NA19098.2.A07
19098	2	A08	NA19098.2.A08
19098	2	A09	NA19098.2.A09
19098	2	A10	NA19098.2.A10
19098	2	A11	NA19098.2.A11
19098	2	A12	NA19098.2.A12
19098	2	B01	NA19098.2.B01
19098	2	B02	NA19098.2.B02
19098	2	B03	NA19098.2.B03
19098	2	B04	NA19098.2.B04
19098	2	B05	NA19098.2.B05
19098	2	B06	NA19098.2.B06
19098	2	B07	NA19098.2.B07
19098	2	B08	NA19098.2.B08
19098	2	B09	NA19098.2.B09
19098	2	B10	NA19098.2.B10
19098	2	B11	NA19098.2.B11
19098	2	B12	NA19098.2.B12
19098	2	C01	NA19098.2.C01
19098	2	C02	NA19098.2.C02
19098	2	C03	NA19098.2.C03
19098	2	C04	NA19098.2.C04
19098	2	C05	NA19098.2.C05
19098	2	C06	NA19098.2.C06
19098	2	C07	NA19098.2.C07
19098	2	C08	NA19098.2.C08
19098	2	C09	NA19098.2.C09
19098	2	C10	NA19098.2.C10
19098	2	C11	NA19098.2.C11
19098	2	C12	NA19098.2.C12
19098	2	D01	NA19098.2.D01
19098	2	D02	NA19098.2.D02
19098	2	D03	NA19098.2.D03
19098	2	D04	NA19098.2.D04
19098	2	D05	NA19098.2.D05
19098	2	D06	NA19098.2.D06
19098	2	D07	NA19098.2.D07
19098	2	D08	NA19098.2.D08
19098	2	D09	NA19098.2.D09
19098	2	D10	NA19098.2.D10
19098	2	D11	NA19098.2.D11
19098	2	D12	NA19098.2.D12
19098	2	E01	NA19098.2.E01
19098	2	E02	NA19098.2.E02
19098	2	E03	NA19098.2.E03
19098	2	E04	NA19098.2.E04
19098	2	E05	NA19098.2.E05
19098	2	E06	NA19098.2.E06
19098	2	E07	NA19098.2.E07
19098	2	E08	NA19098.2.E08
19098	2	E09	NA19098.2.E09
19098	2	E10	NA19098.2.E10
19098	2	E11	NA19098.2.E11
19098	2	E12	NA19098.2.E12
19098	2	F01	NA19098.2.F01
19098	2	F02	NA19098.2.F02
19098	2	F03	NA19098.2.F03
19098	2	F04	NA19098.2.F04
19098	2	F05	NA19098.2.F05
19098	2	F06	NA19098.2.F06
19098	2	F07	NA19098.2.F07
19098	2	F08	NA19098.2.F08
19098	2	F09	NA19098.2.F09
19098	2	F10	NA19098.2.F10
19098	2	F11	NA19098.2.F11
19098	2	F12	NA19098.2.F12
19098	2	G01	NA19098.2.G01
19098	2	G02	NA19098.2.G02
19098	2	G03	NA19098.2.G03
19098	2	G04	NA19098.2.G04
19098	2	G05	NA19098.2.G05
19098	2	G06	NA19098.2.G06
19098	2	G07	NA19098.2.G07
19098	2	G08	NA19098.2.G08
19098	2	G09	NA19098.2.G09
19098	2	G10	NA19098.2.G10
19098	2	G11	NA19098.2.G11
19098	2	G12	NA19098.2.G12
19098	2	H01	NA19098.2.H01
19098	2	H02	NA19098.2.H02
19098	2	H03	NA19098.2.H03
19098	2	H04	NA19098.2.H04
19098	2	H05	NA19098.2.H05
19098	2	H06	NA19098.2.H06
19098	2	H07	NA19098.2.H07
19098	2	H08	NA19098.2.H08
19098	2	H09	NA19098.2.H09
19098	2	H10	NA19098.2.H10
19098	2	H11	NA19098.2.H11
19098	2	H12	NA19098.2.H12
19098	2	bulk	NA19098.2.bulk
19098	3	A01	NA19098.3.A01
19098	3	A02	NA19098.3.A02
19098	3	A03	NA19098.3.A03
19098	3	A04	NA19098.3.A04
19098	3	A05	NA19098.3.A05
19098	3	A06	NA19098.3.A06
19098	3	A07	NA19098.3.A07
19098	3	A08	NA19098.3.A08
19098	3	A09	NA19098.3.A09
19098	3	A10	NA19098.3.A10
19098	3	A11	NA19098.3.A11
19098	3	A12	NA19098.3.A12
19098	3	B01	NA19098.3.B01
19098	3	B02	NA19098.3.B02
19098	3	B03	NA19098.3.B03
19098	3	B04	NA19098.3.B04
19098	3	B05	NA19098.3.B05
19098	3	B06	NA19098.3.B06
19098	3	B07	NA19098.3.B07
19098	3	B08	NA19098.3.B08
19098	3	B09	NA19098.3.B09
19098	3	B10	NA19098.3.B10
19098	3	B11	NA19098.3.B11
19098	3	B12	NA19098.3.B12
19098	3	C01	NA19098.3.C01
19098	3	C02	NA19098.3.C02
19098	3	C03	NA19098.3.C03
19098	3	C04	NA19098.3.C04
19098	3	C05	NA19098.3.C05
19098	3	C06	NA19098.3.C06
19098	3	C07	NA19098.3.C07
19098	3	C08	NA19098.3.C08
19098	3	C09	NA19098.3.C09
19098	3	C10	NA19098.3.C10
19098	3	C11	NA19098.3.C11
19098	3	C12	NA19098.3.C12
19098	3	D01	NA19098.3.D01
19098	3	D02	NA19098.3.D02
19098	3	D03	NA19098.3.D03
19098	3	D04	NA19098.3.D04
19098	3	D05	NA19098.3.D05
19098	3	D06	NA19098.3.D06
19098	3	D07	NA19098.3.D07
19098	3	D08	NA19098.3.D08
19098	3	D09	NA19098.3.D09
19098	3	D10	NA19098.3.D10
19098	3	D11	NA19098.3.D11
19098	3	D12	NA19098.3.D12
19098	3	E01	NA19098.3.E01
19098	3	E02	NA19098.3.E02
19098	3	E03	NA19098.3.E03
19098	3	E04	NA19098.3.E04
19098	3	E05	NA19098.3.E05
19098	3	E06	NA19098.3.E06
19098	3	E07	NA19098.3.E07
19098	3	E08	NA19098.3.E08
19098	3	E09	NA19098.3.E09
19098	3	E10	NA19098.3.E10
19098	3	E11	NA19098.3.E11
19098	3	E12	NA19098.3.E12
19098	3	F01	NA19098.3.F01
19098	3	F02	NA19098.3.F02
19098	3	F03	NA19098.3.F03
19098	3	F04	NA19098.3.F04
19098	3	F05	NA19098.3.F05
19098	3	F06	NA19098.3.F06
19098	3	F07	NA19098.3.F07
19098	3	F08	NA19098.3.F08
19098	3	F09	NA19098.3.F09
19098	3	F10	NA19098.3.F10
19098	3	F11	NA19098.3.F11
19098	3	F12	NA19098.3.F12
19098	3	G01	NA19098.3.G01
19098	3	G02	NA19098.3.G02
19098	3	G03	NA19098.3.G03
19098	3	G04	NA19098.3.G04
19098	3	G05	NA19098.3.G05
19098	3	G06	NA19098.3.G06
19098	3	G07	NA19098.3.G07
19098	3	G08	NA19098.3.G08
19098	3	G09	NA19098.3.G09
19098	3	G10	NA19098.3.G10
19098	3	G11	NA19098.3.G11
19098	3	G12	NA19098.3.G12
19098	3	H01	NA19098.3.H01
19098	3	H02	NA19098.3.H02
19098	3	H03	NA19098.3.H03
19098	3	H04	NA19098.3.H04
19098	3	H05	NA19098.3.H05
19098	3	H06	NA19098.3.H06
19098	3	H07	NA19098.3.H07
19098	3	H08	NA19098.3.H08
19098	3	H09	NA19098.3.H09
19098	3	H10	NA19098.3.H10
19098	3	H11	NA19098.3.H11
19098	3	H12	NA19098.3.H12
19098	3	bulk	NA19098.3.bulk
19101	1	A01	NA19101.1.A01
19101	1	A02	NA19101.1.A02
19101	1	A03	NA19101.1.A03
19101	1	A04	NA19101.1.A04
19101	1	A05	NA19101.1.A05
19101	1	A06	NA19101.1.A06
19101	1	A07	NA19101.1.A07
19101	1	A08	NA19101.1.A08
19101	1	A09	NA19101.1.A09
19101	1	A10	NA19101.1.A10
19101	1	A11	NA19101.1.A11
19101	1	A12	NA19101.1.A12
19101	1	B01	NA19101.1.B01
19101	1	B02	NA19101.1.B02
19101	1	B03	NA19101.1.B03
19101	1	B04	NA19101.1.B04
19101	1	B05	NA19101.1.B05
19101	1	B06	NA19101.1.B06
19101	1	B07	NA19101.1.B07
19101	1	B08	NA19101.1.B08
19101	1	B09	NA19101.1.B09
19101	1	B10	NA19101.1.B10
19101	1	B11	NA19101.1.B11
19101	1	B12	NA19101.1.B12
19101	1	C01	NA19101.1.C01
19101	1	C02	NA19101.1.C02
19101	1	C03	NA19101.1.C03
19101	1	C04	NA19101.1.C04
19101	1	C05	NA19101.1.C05
19101	1	C06	NA19101.1.C06
19101	1	C07	NA19101.1.C07
19101	1	C08	NA19101.1.C08
19101	1	C09	NA19101.1.C09
19101	1	C10	NA19101.1.C10
19101	1	C11	NA19101.1.C11
