G1/S	S	G2/M	M	M/G1
ENSG00000102977	ENSG00000114770	ENSG00000011426	ENSG00000135541	ENSG00000173744
ENSG00000119640	ENSG00000144827	ENSG00000065000	ENSG00000135334	ENSG00000160216
ENSG00000154734	ENSG00000180071	ENSG00000213390	ENSG00000154945	ENSG00000170776
ENSG00000088448	ENSG00000105011	ENSG00000122644	ENSG00000011426	ENSG00000218624
ENSG00000169188	ENSG00000156802	ENSG00000104442	ENSG00000136938	ENSG00000143401
ENSG00000134884	ENSG00000125124	ENSG00000171456	ENSG00000143401	ENSG00000169604
ENSG00000156802	ENSG00000134897	ENSG00000119787	ENSG00000213390	ENSG00000151929
ENSG00000138376	ENSG00000197299	ENSG00000178999	ENSG00000170540	ENSG00000132640
ENSG00000166164	ENSG00000168283	ENSG00000029363	ENSG00000171456	ENSG00000122565
ENSG00000170270	ENSG00000012048	ENSG00000136122	ENSG00000171681	ENSG00000070831
ENSG00000117616	ENSG00000136492	ENSG00000112983	ENSG00000087586	ENSG00000134058
ENSG00000180354	ENSG00000165490	ENSG00000154473	ENSG00000110330	ENSG00000100526
ENSG00000131375	ENSG00000197603	ENSG00000185347	ENSG00000089685	ENSG00000114107
ENSG00000106144	ENSG00000122786	ENSG00000178074	ENSG00000169679	ENSG00000143771
ENSG00000118412	ENSG00000143933	ENSG00000164305	ENSG00000182985	ENSG00000198730
ENSG00000105173	ENSG00000106144	ENSG00000094916	ENSG00000115355	ENSG00000150316
ENSG00000175305	ENSG00000175455	ENSG00000159884	ENSG00000137500	ENSG00000162290
ENSG00000164045	ENSG00000144395	ENSG00000145386	ENSG00000145386	ENSG00000104671
ENSG00000094804	ENSG00000186166	ENSG00000162063	ENSG00000157456	ENSG00000182108
ENSG00000144354	ENSG00000093009	ENSG00000130177	ENSG00000117399	ENSG00000130826
ENSG00000164649	ENSG00000097046	ENSG00000158402	ENSG00000101224	ENSG00000105993
ENSG00000166037	ENSG00000146670	ENSG00000184661	ENSG00000004897	ENSG00000096696
ENSG00000167670	ENSG00000168564	ENSG00000111665	ENSG00000128283	ENSG00000088986
ENSG00000159259	ENSG00000100162	ENSG00000134690	ENSG00000111665	ENSG00000218091
ENSG00000092853	ENSG00000031691	ENSG00000170312	ENSG00000115163	ENSG00000134014
ENSG00000137504	ENSG00000172292	ENSG00000111276	ENSG00000138778	ENSG00000160767
ENSG00000117984	ENSG00000203668	ENSG00000123080	ENSG00000117724	ENSG00000139146
ENSG00000083520	ENSG00000088682	ENSG00000140743	ENSG00000138180	ENSG00000133393
ENSG00000102580	ENSG00000139117	ENSG00000120334	ENSG00000003402	ENSG00000141568
ENSG00000159147	ENSG00000137504	ENSG00000135837	ENSG00000122966	ENSG00000114416
ENSG00000136982	ENSG00000088766	ENSG00000197766	ENSG00000136108	ENSG00000145907
ENSG00000143476	ENSG00000163257	ENSG00000003402	ENSG00000175216	ENSG00000179348
ENSG00000101412	ENSG00000121690	ENSG00000183765	ENSG00000173207	ENSG00000078369
ENSG00000144895	ENSG00000188985	ENSG00000136108	ENSG00000123975	ENSG00000109519
ENSG00000139684	ENSG00000138346	ENSG00000169607	ENSG00000182973	ENSG00000103342
ENSG00000154124	ENSG00000162616	ENSG00000105443	ENSG00000170037	ENSG00000125484
ENSG00000187866	ENSG00000159147	ENSG00000136485	ENSG00000102974	ENSG00000100644
ENSG00000160688	ENSG00000136982	ENSG00000067596	ENSG00000044115	ENSG00000064961
ENSG00000131153	ENSG00000135720	ENSG00000132002	ENSG00000198561	ENSG00000113161
ENSG00000181938	ENSG00000129173	ENSG00000187097	ENSG00000024526	ENSG00000198189
ENSG00000112312	ENSG00000148730	ENSG00000135476	ENSG00000035499	ENSG00000109971
ENSG00000119969	ENSG00000132199	ENSG00000168040	ENSG00000139734	ENSG00000143621
ENSG00000182742	ENSG00000171320	ENSG00000101447	ENSG00000126787	ENSG00000171988
ENSG00000174775	ENSG00000174371	ENSG00000198690	ENSG00000086061	ENSG00000117139
ENSG00000025156	ENSG00000106462	ENSG00000144554	ENSG00000132002	ENSG00000100578
ENSG00000171105	ENSG00000119906	ENSG00000092140	ENSG00000117505	ENSG00000170759
ENSG00000164941	ENSG00000187741	ENSG00000104064	ENSG00000198919	ENSG00000108424
ENSG00000116679	ENSG00000140525	ENSG00000180447	ENSG00000133740	ENSG00000133703
ENSG00000127359	ENSG00000168496	ENSG00000139354	ENSG00000114346	ENSG00000155506
ENSG00000168116	ENSG00000023909	ENSG00000188486	ENSG00000129195	ENSG00000174720
ENSG00000113441	ENSG00000175265	ENSG00000131351	ENSG00000111206	ENSG00000121931
ENSG00000108848	ENSG00000215252	ENSG00000111911	ENSG00000010810	ENSG00000145220
ENSG00000073111	ENSG00000189060	ENSG00000064393	ENSG00000092140	ENSG00000123562
ENSG00000104738	ENSG00000119969	ENSG00000123485	ENSG00000116717	ENSG00000115364
ENSG00000100297	ENSG00000180573	ENSG00000164104	ENSG00000139354	ENSG00000204568
ENSG00000076003	ENSG00000124529	ENSG00000189159	ENSG00000120053	ENSG00000122140
ENSG00000111554	ENSG00000143493	ENSG00000127483	ENSG00000198055	ENSG00000188895
ENSG00000108590	ENSG00000108773	ENSG00000132541	ENSG00000075218	ENSG00000105887
ENSG00000037757	ENSG00000114166	ENSG00000142166	ENSG00000172534	ENSG00000124151
ENSG00000095002	ENSG00000134901	ENSG00000183856	ENSG00000064961	ENSG00000162599
ENSG00000132780	ENSG00000187164	ENSG00000186625	ENSG00000029993	ENSG00000141905
ENSG00000245532	ENSG00000143013	ENSG00000104756	ENSG00000072571	ENSG00000069275
ENSG00000114857	ENSG00000186687	ENSG00000066135	ENSG00000189159	ENSG00000108256
ENSG00000149308	ENSG00000198162	ENSG00000163507	ENSG00000127483	ENSG00000075188
ENSG00000120253	ENSG00000169967	ENSG00000138160	ENSG00000100099	ENSG00000136811
ENSG00000085840	ENSG00000120539	ENSG00000138182	ENSG00000153936	ENSG00000054277
ENSG00000079156	ENSG00000129071	ENSG00000079616	ENSG00000155304	ENSG00000111845
ENSG00000125779	ENSG00000125885	ENSG00000137807	ENSG00000109971	ENSG00000168078
ENSG00000169851	ENSG00000151725	ENSG00000170759	ENSG00000132849	ENSG00000165494
ENSG00000132646	ENSG00000005810	ENSG00000204197	ENSG00000118193	ENSG00000105355
ENSG00000182378	ENSG00000138386	ENSG00000067082	ENSG00000138182	ENSG00000113575
ENSG00000064933	ENSG00000245532	ENSG00000182481	ENSG00000142945	ENSG00000221914
ENSG00000100941	ENSG00000222043	ENSG00000143815	ENSG00000170759	ENSG00000110075
ENSG00000077514	ENSG00000078618	ENSG00000152022	ENSG00000119138	ENSG00000198901
ENSG00000112210	ENSG00000178694	ENSG00000113368	ENSG00000143815	ENSG00000080815
ENSG00000160957	ENSG00000178425	ENSG00000164109	ENSG00000160789	ENSG00000159335
ENSG00000175643	ENSG00000030066	ENSG00000278217	ENSG00000104738	ENSG00000164611
ENSG00000125352	ENSG00000147162	ENSG00000165304	ENSG00000206481	ENSG00000164754
ENSG00000185946	ENSG00000135336	ENSG00000168282	ENSG00000129534	ENSG00000132341
ENSG00000008952	ENSG00000164823	ENSG00000101871	ENSG00000148773	ENSG00000106615
ENSG00000145604	ENSG00000146247	ENSG00000129534	ENSG00000130396	ENSG00000142541
ENSG00000163950	ENSG00000116793	ENSG00000121211	ENSG00000204899	ENSG00000196950
ENSG00000114120	ENSG00000006576	ENSG00000151503	ENSG00000010292	ENSG00000169371
ENSG00000212530	ENSG00000127564	ENSG00000121152	ENSG00000124160	ENSG00000112081
ENSG00000115875	ENSG00000101868	ENSG00000124160	ENSG00000117650	ENSG00000118007
ENSG00000114850	ENSG00000198056	ENSG00000080986	ENSG00000143228	ENSG00000135316
ENSG00000172660	ENSG00000188647	ENSG00000109674	ENSG00000163002	ENSG00000085231
ENSG00000075131	ENSG00000070950	ENSG00000141905	ENSG00000110713	ENSG00000113649
ENSG00000163781	ENSG00000051180	ENSG00000164190	ENSG00000137804	ENSG00000140332
ENSG00000164548	ENSG00000111247	ENSG00000197696	ENSG00000136811	ENSG00000149483
ENSG00000163728	ENSG00000101773	ENSG00000113580	ENSG00000149716	ENSG00000183864
ENSG00000012963	ENSG00000068615	ENSG00000069275	ENSG00000168078	ENSG00000198900
ENSG00000034063	ENSG00000049541	ENSG00000137497	ENSG00000165494	ENSG00000135451
ENSG00000076248	ENSG00000164292	ENSG00000137804	ENSG00000166851	ENSG00000102804
ENSG00000145390	ENSG00000178966	ENSG00000140451	ENSG00000164087	ENSG00000130338
ENSG00000163159	ENSG00000117748	ENSG00000160199	ENSG00000196313	ENSG00000109332
ENSG00000092470	ENSG00000167325	ENSG00000051341	ENSG00000206407	ENSG00000173218
ENSG00000165724	ENSG00000171848	ENSG00000184203	ENSG00000161542	ENSG00000035403
ENSG00000165244	ENSG00000111011	ENSG00000108671	ENSG00000068489	ENSG00000171475
ENSG00000132485	ENSG00000161526	ENSG00000134222	ENSG00000157778	ENSG00000113645
	ENSG00000134294	ENSG00000100401	ENSG00000112245	ENSG00000100811
	ENSG00000185591	ENSG00000166965	ENSG00000169410	ENSG00000178951
	ENSG00000100650	ENSG00000072042	ENSG00000136045	ENSG00000155329
	ENSG00000198168	ENSG00000110315	ENSG00000198218	ENSG00000172466
	ENSG00000131747	ENSG00000164105	ENSG00000108384	ENSG00000162702
	ENSG00000115282	ENSG00000165480	ENSG00000100401	ENSG00000142684
	ENSG00000137941	ENSG00000113810	ENSG00000131795	
	ENSG00000176890	ENSG00000115415	ENSG00000159200	
	ENSG00000077152	ENSG00000123473	ENSG00000142599	
	ENSG00000122042	ENSG00000081320	ENSG00000070423	
	ENSG00000162607	ENSG00000172340	ENSG00000110315	
	ENSG00000222048	ENSG00000137203	ENSG00000205937	
	ENSG00000122952	ENSG00000102265	ENSG00000160214	
		ENSG00000167920	ENSG00000086475	
		ENSG00000120802	ENSG00000183955	
		ENSG00000105576	ENSG00000116560	
		ENSG00000131747	ENSG00000163535	
		ENSG00000183763	ENSG00000171241	
		ENSG00000213186	ENSG00000099956	
		ENSG00000099899	ENSG00000066117	
		ENSG00000116830	ENSG00000076382	
		ENSG00000167552	ENSG00000115306	
		ENSG00000196230	ENSG00000112658	
		ENSG00000137267	ENSG00000112081	
		ENSG00000188229	ENSG00000141380	
		ENSG00000108423	ENSG00000110066	
		ENSG00000137831	ENSG00000013810	
		ENSG00000175063	ENSG00000054118	
		ENSG00000131475	ENSG00000140332	
		ENSG00000009844	ENSG00000149483	
		ENSG00000109046	ENSG00000083312	
		ENSG00000198466	ENSG00000025772	
		ENSG00000174276	ENSG00000088325	
			ENSG00000071539	
			ENSG00000074319	
			ENSG00000211460	
