NA19098	NA19101	NA19239
NAMPT	NAMPT	SLC7A11
SIMC1	ACTR5	SDR39U1
SDR39U1	VDAC2	RHOBTB3
ACBD6	SDR39U1	NAMPT
ACTR5	PGAP1	C6orf203
PRDX5	ADD1	DDX6
SLC7A11	POLR2F	UBA1
RHOBTB3	DDX6	ACTR5
MYSM1	RHOBTB3	RBM42
UBA1	ZNF668	MEF2BNB
APRT	ZNF669	PSMA6
OCRL	LRRC45	SEMA4B
ZNF609	FAM13B	MESDC1
MSMO1	PIGP	AIMP2
MAP10	MRPL35	PRDX5
RAB4A	THRA	MAP10
FBLIM1	PTP4A2	CPNE8
SERPINE1	FRMD8	ZNF10
C19orf48	ZNF48	ZCCHC9
STARD9	MSANTD4	SLU7
KIF3B	SMAD7	FRMD8
SBF1	EBNA1BP2	KIAA1468
FGD6	POLR2E	FBXO8
MTIF2	TRAK2	CERS6
CCBL1	RWDD2B	RSPO1
RAVER2	C19orf55	PARP6
DRAP1	NFKBIA	UTP14C
TLE3	C15orf41	SH3BP5L
RGS17	NPEPPS	PRUNE
PAIP1	CREM	SLC2A13
PSMB5	FRZB	BTBD6
ST7	EFEMP1	TCTN3
WARS	DOHH	FAM50A
EDRF1	APOL2	TMEM194A
GAL3ST3	RBMX2	GEMIN4
CLN3	IRF2BP2	CAMKV
CAMSAP3	IRAK1	TYW1
GK5	DOPEY1	IL27RA
HELB	EPHX2	PMPCB
FAM212B	CDIPT	CCBL1
AIFM1	NDUFAF1	POLR3B
CHMP7	ITPK1	UBA2
DOHH	HIST1H2BE	RPS10
POLR2E	GRM3	LUC7L3
ACTB	SLC7A1	RAF1
MAP1A	COX6B1	CENPQ
GLYR1	WBP2	DCP1B
FASTK	LAMTOR4	NAA16
CENPC	MTIF2	BET1
RPS8	ZNF160	SH3KBP1
RWDD2B	MKRN2	C5orf28
PTMS	CMBL	SUPT4H1
ZNF33A	C10orf118	AFF4
AKAP10	NLRP2	DNMT3A
CCDC91	C14orf119	ZNF251
DCTPP1	GPR63	SRSF12
BMF	ILKAP	FAM127C
NEDD1	PIGL	ZNF282
MTRR	MLLT3	DCK
PSKH1	ZNF84	MVD
ITM2A	MRPL27	CCDC80
AIDA	C11orf58	FNIP2
RASA1	METTL14	TRAPPC2L
BNIP3	ZNF521	NEXN
PARP11	TRIM45	SYT6
KIAA1109	PGRMC1	DHX30
GALNT12	RNF220	FOXO1
FAH	SHROOM2	ZNF821
MGRN1	HADHA	GID8
GLRX5	EDC3	USP47
ZNF669	DHDDS	HIVEP1
RABL3	SFMBT1	SH3BP1
NUMB	CCDC51	CDK14
ABCC1	PSMC6	ASNS
NUP43	SERPINF1	RASA3
POU2F2	HSP90AB1	TPGS2
GNAI2	SCRN2	DOHH
COX6A1P2	MAT2B	MAF
TAB3	KLF6	EED
CDKN1A	MRPL23	TMEM192
LYPLA1	PCBP1	GDAP1
MED19	COX19	BBIP1
MYCL	TAF6	RPAP1
ZNF595	JADE3	ATP5G2
GBA2	NF2	CHFR
TMEM123	ZNF92	COQ2
C7orf50	MVD	EIF1AY
TNFSF11	ATF5	GCSH
ENOPH1	NRSN2	CRABP1
DNMT3A	TFCP2	COX6B1
PPP2CA	VCPIP1	MAP4K2
TRMT6	ABR	TBL2
NOL7	TSFM	HSPH1
SCO1	MAP10	ERCC1
KLHL18	SH3KBP1	ARC
ZBTB48	MMP14	ANKHD1
RITA1	SRA1	TFB1M
ATP11C	MRFAP1L1	PIF1
RBM39	DNMT3A	SIPA1L3
GPR64	FEM1A	GNPAT
PBX3	RHOH	POU2F2
FTO	ICT1	CGN
PIK3CB	PLEKHA1	STK10
FANCG	EEPD1	HEXA
STYXL1	AKR1B1	AP3B1
TMEM47	TWISTNB	ZFP36
TMX4	TXNIP	THRA
SNTB2	UBA2	OXSR1
FAM200A	PDCD2L	CAMSAP3
KIAA0355	CAD	N4BP2
MRPS17	CANT1	SNRNP70
USPL1	ARSB	RWDD2B
PKIG	KDM5B	CLASP1
EIF4E3	ITGB1	NANOS1
STK4	PABPC1	NEO1
ZNF528	RABL3	NLE1
PIGC	SUMF2	CCDC109B
SLC7A8	CSNK2A2	CCPG1
FAM127C	RPLP1	NMU
SORL1	VPS37C	FAM200A
PPP1R7	FAM120C	LSM4
ZBTB1	WARS	NF2
PTPN2	INTS1	GTPBP1
PGD	DHTKD1	ACTL6A
POMGNT1	TOP3B	SCAI
NDUFA10	SLC27A4	ATRX
ZNF212	STIP1	SMAD7
ATG4B	RFWD2	ATG2B
GSTK1	SSBP2	PTCD3
CCAR1	SLMAP	TAB3
HMSD	C5orf28	TRPM7
PRPF40A	TMEM179B	EFCAB7
C1D	ATP5F1	PHACTR2
SEC61A1	RFC2	SART1
CPXM1	ZNF410	ELP3
ELL2	CDK3	ATF6B
DPYSL2	TDRKH	PABPC1
MTRNR2L6	POLR3B	MTERF
SF3B3	GPR64	FOXJ2
GRM3	GLTSCR2	ZNF577
THG1L	GSTM1	IMPA2
BRPF1	KIF4B	SCN8A
EDC3	ZNF33A	MRPL42
NRM	ZKSCAN3	BRCC3
SLC35E1	VPS16	PLEKHA1
DCLK1	CDK2	POLR2A
NME1-NME2	DCXR	SERPINE1
TIMM23B	CHAMP1	ATL2
RPP21	NCAPG2	CLDN10
AC013449.1	ESYT1	TBCA
ATF6B	NCAM1	ATXN1L
POLR2J	CHMP3	MAGEH1
MRPL17	FMNL2	HIST2H2AA3
STAG2	AP4B1	ATXN2
TMEM99	CTTNBP2	SPRED1
BRK1	BET1	CYTH2
PEA15	TWF2	NUP188
SOCS4	ADAR	ZNF850
C17orf62	MYBL2	CTD-2228K2.5
