From	To	Species	Gene Name
GDF3	ENSG00000184344	Homo sapiens	growth differentiation factor 3
ZFP42	ENSG00000179059	Homo sapiens	zinc finger protein 42 homolog (mouse)
NR6A1	ENSG00000148200	Homo sapiens	"nuclear receptor subfamily 6, group A, member 1"
SOX2	ENSG00000181449	Homo sapiens	SRY (sex determining region Y)-box 2
CDKN2A	ENSG00000147889	Homo sapiens	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
POU5F1	ENSG00000204531	Homo sapiens	POU class 5 homeobox 1
LEFTY2	ENSG00000143768	Homo sapiens	left-right determination factor 2
TDGF1	ENSG00000163828	Homo sapiens	"teratocarcinoma-derived growth factor 3, pseudogene; teratocarcinoma-derived growth factor 1"
ERAS	ENSG00000187682	Homo sapiens	ES cell expressed Ras
MYC	ENSG00000136997	Homo sapiens	v-myc myelocytomatosis viral oncogene homolog (avian)
DNMT3B	ENSG00000088305	Homo sapiens	DNA (cytosine-5-)-methyltransferase 3 beta
TERT	ENSG00000164362	Homo sapiens	telomerase reverse transcriptase
FGF4	ENSG00000075388	Homo sapiens	fibroblast growth factor 4
FOXD3	ENSG00000187140	Homo sapiens	forkhead box D3
KLF5	ENSG00000102554	Homo sapiens	Kruppel-like factor 5 (intestinal)
DPPA5	ENSG00000203909	Homo sapiens	developmental pluripotency associated 5
NANOG	ENSG00000111704	Homo sapiens	Nanog homeobox pseudogene 8; Nanog homeobox
UTF1	ENSG00000171794	Homo sapiens	undifferentiated embryonic cell transcription factor 1
PODXL	ENSG00000128567	Homo sapiens	podocalyxin-like
NODAL	ENSG00000156574	Homo sapiens	nodal homolog (mouse)
DPPA4	ENSG00000121570	Homo sapiens	developmental pluripotency associated 4
LEFTY1	ENSG00000143787	Homo sapiens	left-right determination factor 1
DPPA2	ENSG00000163530	Homo sapiens	developmental pluripotency associated 2
CDKN1A	ENSG00000124762	Homo sapiens	"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
SALL4	ENSG00000101115	Homo sapiens	sal-like 4 (Drosophila)
KLF2	ENSG00000127528	Homo sapiens	Kruppel-like factor 2 (lung)
KLF4	ENSG00000136826	Homo sapiens	Kruppel-like factor 4 (gut)
