individual	batch	well	cell_number	concentration	tra1-60
19098	1	A01	1	1.734784548	1
19098	1	A02	1	1.72303788	1
19098	1	A03	1	1.512785915	1
19098	1	A04	1	1.34749169	1
19098	1	A05	1	2.313047242	1
19098	1	A06	1	2.056803417	1
19098	1	A07	1	1.775857054	1
19098	1	A08	1	2.430811571	1
19098	1	A09	1	1.922453553	1
19098	1	A10	1	2.535907133	1
19098	1	A11	1	2.360341265	1
19098	1	A12	1	2.447994411	1
19098	1	B01	1	2.148266292	1
19098	1	B02	1	2.054691873	1
19098	1	B03	1	2.085356672	1
19098	1	B04	2	2.192036831	1
19098	1	B05	1	2.300958204	1
19098	1	B06	1	2.534590846	1
19098	1	B07	1	2.567919976	1
19098	1	B08	1	1.73591813	1
19098	1	B09	1	2.545055079	1
19098	1	B10	1	0.42692197	1
19098	1	B11	1	1.552496771	1
19098	1	B12	1	1.527400103	1
19098	1	C01	1	2.504094099	1
19098	1	C02	1	2.230101855	1
19098	1	C03	1	2.298988765	1
19098	1	C04	1	2.206666216	1
19098	1	C05	1	2.816062935	1
19098	1	C06	1	1.750427387	1
19098	1	C07	1	2.010360557	1
19098	1	C08	1	1.247060282	1
19098	1	C09	1	2.433172849	1
19098	1	C10	1	2.114115538	1
19098	1	C11	1	1.520479856	1
19098	1	C12	1	1.141133507	1
19098	1	D01	1	2.476972535	1
19098	1	D02	1	2.496835424	1
19098	1	D03	1	0.0716926	1
19098	1	D04	1	1.541673105	1
19098	1	D05	1	1.064884711	1
19098	1	D06	1	1.778358996	1
19098	1	D07	1	0.981624592	1
19098	1	D08	1	1.838682652	1
19098	1	D09	1	2.190777833	1
19098	1	D10	1	1.922548096	1
19098	1	D11	1	1.160343689	1
19098	1	D12	1	1.539144956	1
19098	1	E01	1	0.070490971	1
19098	1	E02	1	0.09680313	1
19098	1	E03	1	0.090985963	1
19098	1	E04	0	0.2049209	0
19098	1	E05	1	1.22125763	1
19098	1	E06	1	1.977851139	1
19098	1	E07	1	1.837805972	1
19098	1	E08	1	1.751880197	1
19098	1	E09	1	2.490268226	1
19098	1	E10	1	1.985883295	1
19098	1	E11	1	1.278605915	1
19098	1	E12	1	1.133800309	1
19098	1	F01	1	0.076257207	1
19098	1	F02	1	0.074767593	1
19098	1	F03	1	0.075270842	1
19098	1	F04	1	0.072967592	1
19098	1	F05	0	0.062193761	0
19098	1	F06	1	0.808157231	1
19098	1	F07	1	1.437488601	1
19098	1	F08	1	1.733716251	1
19098	1	F09	1	2.313382517	1
19098	1	F10	1	2.149476471	1
19098	1	F11	1	2.172710778	1
19098	1	F12	1	1.264333853	1
19098	1	G01	1	0.073728979	1
19098	1	G02	1	0.079447665	1
19098	1	G03	1	0.083964093	1
19098	1	G04	1	0.089637566	1
19098	1	G05	1	0.076696476	1
19098	1	G06	1	0.070881755	1
19098	1	G07	1	2.395667272	1
19098	1	G08	1	1.755719894	1
19098	1	G09	1	2.715066164	1
19098	1	G10	1	1.975778462	1
19098	1	G11	1	2.05645194	1
19098	1	G12	1	1.1449489	1
19098	1	H01	1	0.080754561	1
19098	1	H02	1	0	1
19098	1	H03	1	0.080103152	1
19098	1	H04	1	0.042803276	1
19098	1	H05	1	0.073801237	1
19098	1	H06	1	0.044996517	1
19098	1	H07	1	0.049886846	1
19098	1	H08	1	0.039017447	1
19098	1	H09	1	0.073376033	1
19098	1	H10	1	0.068040895	1
19098	1	H11	1	0.05781577	1
19098	1	H12	1	0.082121361	1
19098	2	A01	1	1.714716746	1
19098	2	A02	1	2.255263571	1
19098	2	A03	1	1.72141634	1
19098	2	A04	1	2.797916063	1
19098	2	A05	1	1.023170325	1
19098	2	A06	1	1.248929399	1
19098	2	A07	1	1.460040146	1
19098	2	A08	1	1.402358891	1
19098	2	A09	1	1.774550348	1
19098	2	A10	1	2.398186784	1
19098	2	A11	1	1.684880515	1
19098	2	A12	0	1.103088863	0
19098	2	B01	1	1.001924886	1
19098	2	B02	1	2.365607906	1
19098	2	B03	1	1.626470526	1
19098	2	B04	1	2.701214036	1
19098	2	B05	1	2.348426275	1
19098	2	B06	1	2.130057635	1
19098	2	B07	1	2.276555933	1
19098	2	B08	1	2.39582321	1
19098	2	B09	1	2.023399014	1
19098	2	B10	1	2.044344823	1
19098	2	B11	1	0.841235547	1
19098	2	B12	0	0.884477053	0
19098	2	C01	1	2.030321009	1
19098	2	C02	1	1.771514525	1
19098	2	C03	1	1.61440675	1
19098	2	C04	1	0.959277669	1
19098	2	C05	1	2.654493024	1
19098	2	C06	1	1.67509005	1
19098	2	C07	1	1.973374453	1
19098	2	C08	1	1.765302029	1
19098	2	C09	1	1.453223454	1
19098	2	C10	1	1.644591378	1
19098	2	C11	1	1.563769322	1
19098	2	C12	1	1.894202763	1
19098	2	D01	1	1.906110314	1
19098	2	D02	1	2.063082497	1
19098	2	D03	1	1.106159315	1
19098	2	D04	1	2.433425316	1
19098	2	D05	1	2.234743243	1
19098	2	D06	1	2.327070112	1
19098	2	D07	2	1.300373287	1
