	NA19098.r1.bulk	NA19098.r2.bulk	NA19098.r3.bulk	NA19101.r1.bulk	NA19101.r2.bulk	NA19101.r3.bulk	NA19239.r1.bulk	NA19239.r2.bulk	NA19239.r3.bulk
ERCC-00002	17.18753	17.303609	17.132325	17.226344	17.131748	17.182922	17.202985	17.073196	17.159724
ERCC-00003	13.617231	12.854293	13.454102	13.407974	13.397339	13.481666	13.16848	13.052847	13.327232
ERCC-00004	14.855184	14.815302	14.985815	14.603919	14.901178	14.984836	14.883207	15.012915	14.928178
ERCC-00009	12.446694	12.144271	12.265617	12.867769	12.260803	12.125919	12.605852	12.769276	12.248322
ERCC-00022	10.174479	9.968601	9.443514	10.288618	10.131295	10.298011	11.060333	9.258747	10.666933
ERCC-00025	9.071306	9.395441	9.252653	9.419936	9.095123	7.912626	8.807323	8.680871	9.486131
ERCC-00035	9.992053	8.777471	8.455961	8.841313	10.174135	9.760581	9.428481	9.670227	9.317722
ERCC-00042	13.189233	12.593321	12.907825	13.266038	13.559621	13.40041	13.345975	12.850508	13.162948
ERCC-00043	12.553498	12.102116	12.10536	12.681517	12.21024	12.52138	12.615121	12.660849	12.44513
ERCC-00044	10.086147	9.851344	9.252653	10.914191	10.131295	10.819467	10.619277	10.472997	9.127024
ERCC-00046	14.657681	14.505337	14.436975	14.516069	14.308367	14.653362	14.697165	14.460791	14.433694
ERCC-00053	7.326054	8.030839	7.480537	8.432587	8.277374	2.592923	6.432776	6.743135	8.331298
ERCC-00060	11.192026	10.517691	10.024303	11.682841	10.576683	10.819467	11.52112	11.186805	11.373391
ERCC-00062	8.764844	9.315052	8.049162	9.159441	8.685381	8.318604	8.671761	9.258747	8.78334
ERCC-00071	9.071306	8.087249	8.772923	8.432587	8.426569	7.912626	8.355159	9.479108	7.358072
ERCC-00074	17.301331	17.332064	17.234339	17.13061	17.190965	17.238773	17.366958	17.315983	17.274538
ERCC-00076	9.538852	9.242391	9.612049	10.15181	9.733238	9.760581	10.289498	9.479108	9.837127
ERCC-00078	7.727466	8.05932	8.455961	2.592923	7.70637	9.624081	7.692948	9.670227	7.92524
ERCC-00079	9.116604	7.94186	8.772923	6.897149	7.451647	7.345613	9.341807	8.272886	9.127024
ERCC-00084	7.326054	7.598023	8.455961	6.897149	8.426569	8.318604	8.355159	7.701926	7.66935
ERCC-00092	11.159929	10.497018	11.189577	11.953689	10.51136	10.819467	11.309045	10.985731	11.28479
ERCC-00095	9.992053	8.451926	9.762939	7.860166	9.095123	9.885276	10.091219	10.366552	9.404382
ERCC-00096	17.533165	17.689024	17.652588	17.640036	17.678609	17.700512	17.525901	17.648941	17.607842
ERCC-00108	13.581328	13.007397	13.519163	13.668369	13.299151	13.613703	13.704022	13.715434	13.428928
ERCC-00111	12.085835	11.435453	11.987692	11.682841	12.136336	11.878357	12.307329	11.831819	12.138839
ERCC-00112	10.063193	9.583671	9.252653	10.15181	9.483646	9.624081	9.861281	10.664876	10.355072
ERCC-00113	15.05529	14.769441	15.13164	14.96714	15.173432	15.161682	14.995709	15.004065	15.345885
ERCC-00130	18.20005	18.221764	18.215622	18.239036	18.231908	18.098869	18.141541	18.163857	18.167652
ERCC-00131	10.23735	8.908481	9.899532	9.419936	9.789428	8.89445	8.931234	8.272886	8.78334
ERCC-00136	14.245944	13.648165	14.464766	14.306456	14.110279	14.500909	14.416192	14.480065	14.415551
ERCC-00145	12.80941	12.372785	12.824476	12.993203	13.085745	12.667458	12.519638	12.908565	12.739918
ERCC-00162	8.706784	8.001785	7.480537	8.432587	8.277374	7.912626	7.381498	9.258747	8.331298
ERCC-00165	9.071306	7.673659	8.049162	8.432587	9.095123	8.635069	7.692948	9.479108	6.410174
ERCC-00171	14.042401	13.798811	13.978392	13.655775	13.912574	13.985104	14.152176	14.199126	14.102174
