	NA19098.r1.bulk	NA19098.r2.bulk	NA19098.r3.bulk	NA19101.r1.bulk	NA19101.r2.bulk	NA19101.r3.bulk	NA19239.r1.bulk	NA19239.r2.bulk	NA19239.r3.bulk
ENSG00000237683	1.66455867723949	2.26838408707302	1.0509065714765	2.03324259480996	1.47372406129918	1.44124488153766	1.36903276834234	1.37109144545402	0.805714509862684
ENSG00000188976	6.43930572544792	6.23030914066778	6.50005003405375	5.77910081584593	6.54249343185842	6.10433888118771	7.04297450529418	6.21147460410607	6.2882963189207
ENSG00000187608	5.8167811864288	5.54826180468023	5.40823177031766	4.99568022985968	5.13243714661326	5.12015535765467	5.47983184303007	5.69015798901329	5.53600531611112
ENSG00000188157	4.648534155746	4.65505252080014	4.73305081994816	4.50702662830521	4.26851331628479	4.41756902213941	3.70405200749541	3.89216541804578	4.04377061142038
ENSG00000078808	3.3010196408395	3.36160724547073	2.96252573428993	2.81229349491558	2.77678484385651	3.05232358021157	3.72426336009771	3.19587126049694	2.9975129905388
ENSG00000176022	2.94033910918797	2.67049581361427	3.02872520994337	1.90699686927916	3.06889292545431	2.74698005348458	2.74184978108909	2.48390110899159	3.1950716711715
ENSG00000160087	5.12332542205328	4.27855883723442	4.16537278649512	3.67716973689735	3.8623050832332	4.15970513924139	5.36330493028541	4.50546132525129	4.16122193740602
ENSG00000169972	5.11427313343631	5.07694756769197	5.08666160133855	4.30567502025438	4.75292762329594	4.75447919823829	5.32411333321779	4.55091936339139	4.77512335695939
ENSG00000127054	6.74125269814795	6.78620928454416	6.95635401294208	6.59859136519156	6.94764339995696	6.98884914127912	6.96124753906761	6.87566226559526	6.95878462066081
ENSG00000224051	1.69725785783442	1.41027396917164	1.73821638741749	0.67714285991457	1.45361110159492	1.27742694695323	1.95234214924577	1.19485911959294	1.4888319846419
ENSG00000107404	3.14383276801293	3.29727350672451	3.21084211061365	2.91128062660865	3.06889292545431	3.16377695302241	3.43645770170121	2.67519409041208	3.39496846882102
ENSG00000162576	3.10780018290268	2.93934011952758	2.17018055998584	1.7686350655875	2.42051653488	2.15849230224364	1.82086867225918	2.49239914649068	2.99066695319537
ENSG00000175756	8.33979148675701	8.09371934381191	8.12226479614023	7.34770624729677	8.19309614827453	7.95772152867302	8.61946611286933	7.97692524360292	8.11681334994944
ENSG00000221978	5.52618793650852	5.21947527571956	5.55941320021294	5.10296954152818	4.80545156215921	4.93027460439841	6.22458693733532	5.92329258830247	5.92337837848756
ENSG00000242485	8.7373601602876	9.03751789146313	9.05018156103866	8.89096479583132	9.11318676777251	9.01583428348147	9.22132967005674	8.95179601912225	8.87927441863335
ENSG00000179403	4.12819646476222	3.7327727221853	4.07427143035847	2.98698887343722	3.35028652967818	3.2228816259934	4.2508723523011	3.33938452124857	3.57050860353901
ENSG00000160072	3.5893225287526	3.66948999709853	3.71720025510742	3.30176806874752	4.13280208895737	3.77264386040769	3.92678866144832	2.92162570561372	3.39496846882102
ENSG00000197785	3.73423324048889	3.50832809418251	3.61903700554463	3.47357487096979	3.50488145754107	3.44323829741964	3.8795110068251	3.20624039081678	3.81874920984586
ENSG00000160075	7.08610205350644	7.16780514568153	6.99261636863658	7.15759498686475	7.189534083857	7.3135922191941	7.1408264544191	7.24477977084699	7.26535161346806
