	NA19098.r1.bulk	NA19098.r2.bulk	NA19098.r3.bulk	NA19101.r1.bulk	NA19101.r2.bulk	NA19101.r3.bulk	NA19239.r1.bulk	NA19239.r2.bulk	NA19239.r3.bulk
ENSG00000237683	51	67	40	59	42	35	49	44	23
ENSG00000188976	3535	2790	4007	2686	3658	2609	6281	3383	3119
ENSG00000187961	55	72	104	59	44	75	76	70	109
ENSG00000187608	1542	1145	1275	1020	909	832	1449	1552	1218
ENSG00000188157	675	589	772	719	492	492	395	434	418
ENSG00000131591	94	61	123	76	57	57	172	81	92
ENSG00000078808	266	247	226	224	174	196	415	270	211
ENSG00000176022	211	151	244	117	217	158	217	167	236
ENSG00000160087	936	451	483	384	347	363	1294	653	421
ENSG00000131584	33	43	46	50	58	42	68	62	60
ENSG00000169972	1105	963	1156	756	815	758	1432	818	877
ENSG00000127054	2911	2695	3693	3092	3216	3024	4043	3561	3238
ENSG00000224051	86	61	98	51	70	58	122	68	73
ENSG00000107404	261	258	279	254	234	226	370	210	288
ENSG00000162576	235	185	133	107	134	104	114	168	200
ENSG00000175756	8521	6659	8251	5192	7574	5927	12599	7590	7296
ENSG00000221978	1268	912	1417	1135	733	736	2428	1855	1607
ENSG00000224870	322	393	404	590	303	317	722	588	360
ENSG00000242485	12557	13608	16821	15960	15223	12990	20218	15550	13204
ENSG00000179403	459	311	500	242	254	212	599	278	300
ENSG00000160072	305	271	384	307	413	299	467	214	254
ENSG00000197785	341	259	359	349	269	251	466	277	360
ENSG00000160075	3627	3365	3659	4491	3673	3641	4449	4502	3939
ENSG00000228594	240	158	234	199	140	191	261	226	239
ENSG00000197530	185	135	96	92	117	78	61	48	48
ENSG00000248333	1648	1020	1701	1167	1235	1206	1580	1306	1195
ENSG00000189339	329	328	372	260	291	261	347	331	364
ENSG00000008128	782	518	733	865	942	780	1331	881	790
ENSG00000008130	819	631	651	732	370	521	685	577	463
ENSG00000078369	5542	4689	4864	5245	4466	4005	5278	5776	4956
ENSG00000178821	197	156	123	117	86	113	193	147	115
ENSG00000067606	399	289	363	273	265	232	287	219	363
ENSG00000162585	705	486	702	298	306	248	830	408	427
ENSG00000157933	243	136	188	158	151	155	133	142	142
ENSG00000116151	102	122	144	84	72	62	123	108	110
ENSG00000157916	3036	2160	2635	2310	2637	1928	4248	2765	2483
ENSG00000157911	411	337	372	216	236	211	833	344	316
ENSG00000157881	313	278	291	322	300	301	374	318	255
ENSG00000157870	654	609	704	571	647	528	1083	686	726
ENSG00000130762	395	288	405	274	364	221	599	332	331
ENSG00000158109	739	589	794	742	587	688	693	646	708
ENSG00000116213	997	594	935	747	731	655	1013	959	791
ENSG00000235169	122	48	105	68	87	57	104	107	82
ENSG00000130764	1693	1497	1538	1307	1336	1363	1658	1376	1311
ENSG00000116198	410	261	320	373	299	285	354	277	321
ENSG00000169598	228	253	285	388	298	259	283	462	313
ENSG00000198912	2023	2034	2690	2413	1992	1726	2386	2293	1957
ENSG00000196581	122	64	130	74	87	83	61	69	60
ENSG00000131697	111	150	137	107	100	89	129	107	96
ENSG00000069424	189	111	197	150	106	122	80	75	63
ENSG00000116251	18941	14717	18155	23121	16688	15339	21058	20256	20167
ENSG00000116237	2021	1570	2006	1842	1675	1578	2317	1771	2078
ENSG00000158292	238	178	266	209	212	186	151	247	252
ENSG00000097021	4320	4635	5068	7515	4966	5723	5760	6940	5437
ENSG00000187017	63	27	33	24	15	18	26	21	16
ENSG00000215788	121	44	77	62	48	44	37	55	49
ENSG00000171680	100	76	66	58	46	41	46	41	46
ENSG00000162408	973	853	1067	1040	1066	1115	1403	1079	1163
ENSG00000204859	444	516	620	550	647	503	645	536	569
ENSG00000162413	463	425	396	427	389	366	429	366	351
ENSG00000116273	645	557	568	676	420	413	468	514	555
ENSG00000041988	610	431	598	610	464	445	651	481	497
ENSG00000007923	2453	2005	2985	2399	2706	2303	4998	3398	3005
ENSG00000171735	7172	5084	7215	7912	6315	5784	7700	7901	6652
ENSG00000049245	1204	1065	1230	1160	1085	1035	1586	1311	1144
ENSG00000049246	108	77	96	149	157	117	91	66	48
ENSG00000116288	29284	24284	30694	35126	25219	27441	36303	32915	26868
ENSG00000116285	882	574	402	492	296	292	350	427	289
ENSG00000142599	1733	1579	1671	1755	1287	1358	909	836	776
ENSG00000074800	86545	88049	105275	126252	92918	88028	120707	110304	89025
ENSG00000049239	76	35	64	96	28	98	127	159	138
ENSG00000171612	364	267	370	373	372	363	457	407	552
ENSG00000188807	339	344	356	323	330	270	480	344	380
ENSG00000171608	286	194	177	251	163	200	194	222	222
ENSG00000171603	1038	695	722	678	638	629	796	690	767
ENSG00000178585	447	350	453	418	326	374	433	524	534
ENSG00000162441	869	836	1057	1370	1263	947	1356	1425	1417
ENSG00000173614	135	122	156	207	150	128	505	289	306
ENSG00000162444	84	104	75	142	85	87	73	103	61
ENSG00000130939	1994	1708	2097	2112	1717	1619	1924	1838	1865
ENSG00000054523	1915	1683	1805	1854	1568	1774	1937	1651	2049
ENSG00000142657	11145	11530	15300	16923	15296	13066	17871	17413	16562
ENSG00000175279	571	443	532	533	494	440	562	558	464
ENSG00000160049	4762	4670	5332	6915	4448	4537	8099	7802	5883
ENSG00000142655	249	245	319	316	207	201	315	273	243
ENSG00000130940	82	47	37	57	29	41	19	36	34
ENSG00000120948	8259	7967	11414	11973	10048	8953	10681	10891	9568
ENSG00000116649	1553	1374	1678	1203	1416	1239	2344	1262	1461
ENSG00000171824	2585	2665	3099	3531	2488	2646	3791	3534	2522
ENSG00000198793	1404	1059	1481	1268	1008	1070	1347	1080	1223
ENSG00000120942	1402	1355	1756	1530	1503	1238	2140	1593	1272
ENSG00000204624	59	59	81	35	46	50	67	50	56
ENSG00000116661	310	157	138	183	114	129	170	118	119
ENSG00000132879	378	497	575	682	360	365	495	549	446
ENSG00000116670	8418	7799	9264	8975	8988	7451	8942	8407	7490
ENSG00000162490	1420	1259	1360	1266	1210	1135	1199	927	1258
ENSG00000177674	3723	3273	3592	4826	3090	3123	3468	3997	3258
ENSG00000177000	297	325	492	382	383	346	557	408	436
ENSG00000011021	340	385	535	484	568	459	769	574	685
ENSG00000116685	492	415	441	493	411	319	546	414	451
ENSG00000083444	873	845	1153	1200	963	963	1018	1216	1195
ENSG00000116688	1303	1313	1706	1564	1378	1409	2402	1752	1697
ENSG00000116691	2784	2445	3675	2756	3095	2530	4469	2649	2466
ENSG00000120949	714	511	636	496	453	375	418	218	178
ENSG00000028137	74	40	50	66	62	61	18	65	34
ENSG00000048707	443	339	426	473	300	331	360	402	374
ENSG00000162496	542	510	957	734	923	664	993	611	681
ENSG00000179172	44	23	31	326	264	307	46	49	36
ENSG00000162493	3352	2930	2872	2901	2316	1950	2393	2110	1917
ENSG00000116731	266	198	285	239	189	245	304	228	247
ENSG00000189337	216	111	151	174	169	174	75	121	147
ENSG00000171729	232	146	178	139	124	112	84	110	112
ENSG00000142621	65	48	88	70	28	72	56	90	58
ENSG00000142634	208	153	205	153	159	139	176	202	192
ENSG00000132906	761	677	876	736	697	600	809	751	715
ENSG00000116138	503	373	544	493	490	358	614	441	488
ENSG00000116771	122	137	168	105	97	96	136	129	89
ENSG00000197312	1476	1277	1257	1357	1137	1102	1590	1305	1391
ENSG00000116786	587	408	589	449	452	389	581	513	562
ENSG00000162458	1372	1159	1426	1072	947	922	1022	990	1045
ENSG00000065526	1129	738	826	798	687	750	1041	728	824
ENSG00000116809	308	311	335	233	242	221	365	232	245
ENSG00000142627	458	304	266	453	249	299	188	264	234
ENSG00000142632	884	696	664	669	418	443	411	557	391
ENSG00000037637	848	788	934	874	825	759	965	846	739
ENSG00000055070	1174	1229	1937	1810	1744	1374	2735	2010	1860
