	NA19098.r1.bulk	NA19098.r2.bulk	NA19098.r3.bulk	NA19101.r1.bulk	NA19101.r2.bulk	NA19101.r3.bulk	NA19239.r1.bulk	NA19239.r2.bulk	NA19239.r3.bulk
ENSG00000237683	50	61	39	56	41	35	49	42	24
ENSG00000187634	2	8	9	3	2	2	14	4	2
ENSG00000188976	3575	2794	4034	2675	3642	2605	6322	3396	3137
ENSG00000187961	54	68	96	58	44	75	70	65	105
ENSG00000187583	8	8	0	3	0	1	6	2	0
ENSG00000187642	2	1	0	0	0	1	1	1	1
ENSG00000188290	0	1	1	0	0	1	0	0	0
ENSG00000187608	1525	1122	1247	1001	902	822	1420	1510	1197
ENSG00000188157	670	575	763	710	481	486	389	425	404
ENSG00000237330	3	0	1	1	0	1	1	0	1
ENSG00000131591	96	67	130	77	56	54	185	82	97
ENSG00000162571	14	12	17	27	19	13	13	11	6
ENSG00000186891	22	11	3	6	1	3	0	0	0
ENSG00000186827	0	0	0	1	0	0	0	0	0
ENSG00000078808	263	234	224	217	175	194	400	263	207
ENSG00000176022	213	151	243	117	216	160	218	169	236
ENSG00000184163	10	1	5	9	6	3	5	3	5
ENSG00000160087	915	432	475	385	335	357	1291	640	422
ENSG00000162572	4	4	7	9	7	11	10	9	18
ENSG00000131584	36	43	52	51	54	44	65	63	58
ENSG00000169972	1069	937	1113	740	774	741	1340	747	836
ENSG00000127054	2904	2719	3713	3122	3222	3056	4080	3599	3265
ENSG00000224051	85	63	98	51	71	57	122	69	73
ENSG00000169962	0	0	2	0	0	1	0	3	0
ENSG00000107404	253	256	276	254	234	226	367	213	286
ENSG00000162576	201	174	133	110	136	109	107	163	200
ENSG00000175756	9209	6995	8861	5589	8097	6336	13221	8098	7757
ENSG00000221978	1169	882	1385	1099	743	742	2152	1720	1561
ENSG00000224870	302	346	381	550	278	281	653	541	326
ENSG00000242485	12535	13563	16739	15954	15197	12974	20187	15506	13143
ENSG00000235098	2	8	4	6	2	11	15	2	6
ENSG00000205116	0	0	0	0	0	0	0	0	0
ENSG00000179403	458	310	500	242	255	217	599	281	300
ENSG00000215915	20	20	23	11	44	27	41	29	37
ENSG00000160072	318	289	401	325	399	299	501	199	263
ENSG00000197785	326	254	353	339	274	241	473	280	349
ENSG00000205090	0	0	1	0	0	0	6	0	0
ENSG00000160075	3630	3369	3659	4491	3681	3655	4482	4523	3947
ENSG00000215014	26	14	38	15	22	17	117	25	19
ENSG00000228594	246	161	231	202	143	194	267	233	239
ENSG00000197530	156	127	91	88	113	78	60	46	49
ENSG00000189409	0	2	0	1	1	1	1	1	2
ENSG00000248333	1858	1132	1868	1311	1383	1303	1884	1569	1379
ENSG00000189339	360	368	435	265	326	280	394	367	379
ENSG00000008128	638	390	623	642	742	551	1071	728	629
ENSG00000215790	41	53	93	50	36	39	114	58	45
ENSG00000008130	563	406	435	451	244	365	495	401	316
ENSG00000078369	5499	4636	4807	5193	4442	3992	5132	5747	4911
ENSG00000169885	1	1	0	0	0	0	0	1	0
ENSG00000178821	194	161	126	125	83	116	192	143	120
ENSG00000142609	8	5	5	13	2	12	7	18	12
ENSG00000187730	31	13	27	13	8	13	13	10	4
ENSG00000067606	376	280	329	264	245	222	275	199	342
ENSG00000162585	705	479	707	299	299	254	796	403	416
ENSG00000269554	0	7	5	5	0	5	4	14	20
ENSG00000203301	2	13	2	8	1	2	11	1	13
ENSG00000157933	243	136	186	159	150	152	133	141	140
ENSG00000116151	93	124	144	78	71	65	129	111	117
ENSG00000269753	0	0	3	0	0	0	0	0	0
ENSG00000157916	2448	1810	2218	1903	2232	1649	3324	2228	2091
ENSG00000157911	332	223	276	185	160	156	725	291	252
ENSG00000149527	0	0	0	1	0	1	0	0	0
ENSG00000157881	275	251	250	284	260	265	329	271	220
ENSG00000197921	1	0	2	1	0	2	1	0	0
ENSG00000157873	0	0	4	0	3	1	0	3	0
ENSG00000157870	657	621	728	579	645	542	1090	701	732
