ensg	mad_value	gene_names	is_cell_cycle	is_pluripotent
ENSG00000053438	0.96043865458241	NNAT	FALSE	FALSE
ENSG00000141449	0.95918049753878	GREB1L	FALSE	FALSE
ENSG00000106153	0.573404746883645	CHCHD2	FALSE	FALSE
ENSG00000198046	0.545792669725361	ZNF667	FALSE	FALSE
ENSG00000184674	0.459294592089906	GSTT1	FALSE	FALSE
ENSG00000164241	0.438984327925055	C5orf63	FALSE	FALSE
ENSG00000205364	0.433067582136441	MT1M	FALSE	FALSE
ENSG00000116014	0.423467877736298	KISS1R	FALSE	FALSE
ENSG00000148516	0.362902869990228	ZEB1	FALSE	FALSE
ENSG00000022556	0.360928947868696	NLRP2	FALSE	FALSE
ENSG00000179546	0.314006217230308	HTR1D	FALSE	FALSE
ENSG00000258405	0.309599572824069	ZNF578	FALSE	FALSE
ENSG00000157168	0.30924472099679	NRG1	FALSE	FALSE
ENSG00000159618	0.302055502893478	GPR114	FALSE	FALSE
ENSG00000137070	0.293247414075202	IL11RA	FALSE	FALSE
ENSG00000101842	0.274903069185331	VSIG1	FALSE	FALSE
ENSG00000165323	0.266861131937379	FAT3	FALSE	FALSE
ENSG00000179542	0.266472215621756	SLITRK4	FALSE	FALSE
ENSG00000134330	0.242505489771586	IAH1	FALSE	FALSE
ENSG00000183049	0.239957173112206	CAMK1D	FALSE	FALSE
ENSG00000154065	0.239190405989775	ANKRD29	FALSE	FALSE
ENSG00000189143	0.238076316426341	CLDN4	FALSE	FALSE
ENSG00000047457	0.236624310238161	CP	FALSE	FALSE
ENSG00000100298	0.231238177257355	APOBEC3H	FALSE	FALSE
ENSG00000178233	0.226553470769362	TMEM151B	FALSE	FALSE
ENSG00000151948	0.226507650075303	GLT1D1	FALSE	FALSE
ENSG00000267041	0.224842527204582	ZNF850	FALSE	FALSE
ENSG00000171219	0.223999247548642	CDC42BPG	FALSE	FALSE
ENSG00000145476	0.223670539654185	CYP4V2	FALSE	FALSE
ENSG00000185869	0.221109324095722	ZNF829	FALSE	FALSE
ENSG00000091947	0.220391836691996	TMEM101	FALSE	FALSE
ENSG00000196418	0.21974578286982	ZNF124	FALSE	FALSE
ENSG00000137434	0.219024499491043	C6orf52	FALSE	FALSE
ENSG00000145908	0.217629684575522	ZNF300	FALSE	FALSE
ENSG00000172461	0.216760858765946	FUT9	FALSE	FALSE
ENSG00000133104	0.213818301609887	SPG20	FALSE	FALSE
ENSG00000260362	0.212620745394321	RP11-297M9.1	FALSE	FALSE
ENSG00000101850	0.208902824835566	GPR143	FALSE	FALSE
ENSG00000144857	0.208703220834583	BOC	FALSE	FALSE
ENSG00000168216	0.208009850566912	LMBRD1	FALSE	FALSE
ENSG00000197134	0.207891956572349	ZNF257	FALSE	FALSE
ENSG00000104231	0.204744136928097	ZFAND1	FALSE	FALSE
ENSG00000101191	0.204330211663324	DIDO1	FALSE	FALSE
ENSG00000134874	0.203012399970392	DZIP1	FALSE	FALSE
ENSG00000188321	0.20275056847085	ZNF559	FALSE	FALSE
ENSG00000128610	0.202064916558976	FEZF1	FALSE	FALSE
ENSG00000174371	0.201032197099401	EXO1	TRUE	FALSE
ENSG00000169919	0.199718536413701	GUSB	FALSE	FALSE
ENSG00000105472	0.19912223976571	CLEC11A	FALSE	FALSE
ENSG00000117598	0.198508533853691	LPPR5	FALSE	FALSE
ENSG00000167815	0.197936757520597	PRDX2	FALSE	FALSE
ENSG00000142698	0.196606199857163	C1orf94	FALSE	FALSE
ENSG00000163032	0.19631407567308	VSNL1	FALSE	FALSE
ENSG00000241127	0.19614662814689	YAE1D1	FALSE	FALSE
ENSG00000197863	0.195910917561708	ZNF790	FALSE	FALSE
ENSG00000165118	0.195676618585825	C9orf64	FALSE	FALSE
ENSG00000075407	0.195278233093637	ZNF37A	FALSE	FALSE
ENSG00000143375	0.195025115624078	CGN	FALSE	FALSE
ENSG00000097033	0.194924595670342	SH3GLB1	FALSE	FALSE
