depth	type	well	gene_subset	num_cells	seed	genes	counts
1000000	molecules	A9E1	ENSG	1	1	5290	21630.00
1000000	reads	A9E1	ENSG	1	1	5290	493812.00
1000000	molecules	B2E2	ENSG	1	1	6253	30932.00
1000000	reads	B2E2	ENSG	1	1	6254	518453.00
1000000	molecules	B4H1	ENSG	1	1	5319	19398.00
1000000	reads	B4H1	ENSG	1	1	5319	392247.00
1000000	molecules	D2H2	ENSG	1	1	4925	21395.00
1000000	reads	D2H2	ENSG	1	1	4925	366043.00
10000000	molecules	A9E1	ENSG	1	1	6605	31376.00
10000000	reads	A9E1	ENSG	1	1	6606	4933290.00
10000000	molecules	B2E2	ENSG	1	1	7836	44468.00
10000000	reads	B2E2	ENSG	1	1	7838	5185543.00
10000000	molecules	B4H1	ENSG	1	1	6609	28496.00
10000000	reads	B4H1	ENSG	1	1	6610	3921176.00
10000000	molecules	D2H2	ENSG	1	1	6128	31471.00
10000000	reads	D2H2	ENSG	1	1	6131	3658075.00
20000000	molecules	A9E1	ENSG	1	1	7299	36844.00
20000000	reads	A9E1	ENSG	1	1	7301	9869233.00
20000000	molecules	B2E2	ENSG	1	1	8643	51695.00
20000000	reads	B2E2	ENSG	1	1	8645	10371049.00
20000000	molecules	B4H1	ENSG	1	1	7254	33453.00
20000000	reads	B4H1	ENSG	1	1	7259	7847636.00
20000000	molecules	D2H2	ENSG	1	1	6764	36664.00
20000000	reads	D2H2	ENSG	1	1	6771	7317234.00
30000000	molecules	A9E1	ENSG	1	1	7781	40939.00
30000000	reads	A9E1	ENSG	1	1	7787	14804846.00
30000000	molecules	B2E2	ENSG	1	1	9188	57095.00
30000000	reads	B2E2	ENSG	1	1	9192	15554079.00
30000000	molecules	B4H1	ENSG	1	1	7718	37224.00
30000000	reads	B4H1	ENSG	1	1	7723	11771761.00
30000000	molecules	D2H2	ENSG	1	1	7212	40493.00
30000000	reads	D2H2	ENSG	1	1	7220	10977632.00
40000000	molecules	A9E1	ENSG	1	1	8210	44332.00
40000000	reads	A9E1	ENSG	1	1	8215	19737307.00
40000000	molecules	B2E2	ENSG	1	1	9655	61748.00
40000000	reads	B2E2	ENSG	1	1	9661	20737386.00
40000000	molecules	B4H1	ENSG	1	1	8121	40505.00
40000000	reads	B4H1	ENSG	1	1	8126	15694590.00
40000000	molecules	D2H2	ENSG	1	1	7624	43835.00
40000000	reads	D2H2	ENSG	1	1	7632	14634241.00
50000000	molecules	A9E1	ENSG	1	1	8533	47253.00
50000000	reads	A9E1	ENSG	1	1	8540	24670623.00
50000000	molecules	B2E2	ENSG	1	1	10057	65826.00
50000000	reads	B2E2	ENSG	1	1	10062	25922337.00
