type	depth	gene_subset	seed	subsampled_cells	individual	replicate	lower_q	upper_q	available_ensg	used_ensg	available_ercc	used_ercc	potential_cells	available_cells	pearson_ensg	pearson_ercc	spearman_ensg	spearman_ercc	detected_ensg	detected_ercc	mean_counts_ensg	mean_counts_ercc	var_pearson	var_spearman
reads	50000	all	1	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.81544	0.91087	0.82567	0.91298	8470	25	24282.2	284	0.82285	0.79127
reads	50000	all	1	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.77819	0.93355	0.78248	0.9018	8322	27	23583.2	400.6	0.80704	0.77151
molecules	50000	all	1	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.82451	0.91783	0.83593	0.91199	8470	25	15905.8	191	0.84731	0.81213
molecules	50000	all	1	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.79436	0.93475	0.79935	0.90752	8322	27	13532.6	226.2	0.84293	0.799
reads	50000	all	2	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.79048	0.91632	0.79626	0.90729	8200	29	22905.2	453.6	0.81186	0.77143
reads	50000	all	2	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.77264	0.91791	0.77453	0.86593	8409	28	23213.6	393.8	0.80304	0.76795
molecules	50000	all	2	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.80497	0.92106	0.8118	0.90612	8200	29	13441	259.2	0.85268	0.80087
molecules	50000	all	2	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.78949	0.92732	0.79328	0.87854	8409	28	13601.8	219	0.84084	0.79896
reads	50000	all	3	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.79654	0.9041	0.80233	0.86309	8366	25	22600.8	394.2	0.81837	0.77811
reads	50000	all	3	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.76979	0.90891	0.77267	0.89599	8283	24	23512.8	441.2	0.80185	0.76867
molecules	50000	all	3	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.80834	0.9094	0.81635	0.86376	8366	25	14250.4	229.8	0.8519	0.80514
molecules	50000	all	3	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.78634	0.92102	0.78987	0.89743	8283	24	13210.8	236.2	0.83838	0.79587
reads	50000	all	4	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.78924	0.92534	0.79433	0.93155	8139	31	22081.4	441.4	0.80811	0.77089
reads	50000	all	4	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.76764	0.90247	0.77016	0.88236	8127	26	21531.2	503.8	0.82287	0.77552
molecules	50000	all	4	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.803	0.93482	0.80866	0.93465	8139	31	12921.2	242	0.84677	0.79776
molecules	50000	all	4	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.78649	0.91779	0.78911	0.88907	8127	26	12317.2	244.6	0.85834	0.80455
reads	50000	all	5	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.80636	0.81727	0.81421	0.77981	8493	26	23664.4	342	0.82221	0.78388
reads	50000	all	5	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.77213	0.91707	0.77451	0.8933	8226	27	22317.6	413	0.80746	0.77215
molecules	50000	all	5	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.81743	0.84669	0.82695	0.7853	8493	26	15118.4	216	0.85139	0.80588
molecules	50000	all	5	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.78773	0.92917	0.79123	0.90516	8226	27	12855.6	223.2	0.84372	0.80076
reads	50000	all	6	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.79878	0.89653	0.80499	0.89175	8355	34	23090.8	406.4	0.81421	0.77887
reads	50000	all	6	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.77537	0.90774	0.77901	0.87643	8217	29	22067.8	474.4	0.82156	0.78212
molecules	50000	all	6	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.8123	0.89734	0.82031	0.88473	8355	34	14051.8	231.2	0.85491	0.80821
molecules	50000	all	6	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.79348	0.93025	0.79727	0.90314	8217	29	12597.8	233.4	0.85957	0.81298
reads	50000	all	7	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.76925	0.88525	0.77323	0.87675	7839	30	21161.4	570.6	0.79581	0.75236
reads	50000	all	7	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.78588	0.90757	0.79121	0.86777	8303	26	23540	376.2	0.81265	0.78277
molecules	50000	all	7	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.787	0.91227	0.79057	0.89691	7839	30	11460.4	297.2	0.83746	0.78536
molecules	50000	all	7	5	NA19098	r3	0	1	12192	12192	43	43	57	57	0.80062	0.91595	0.80681	0.87167	8303	26	13801.2	217.2	0.84993	0.8086
reads	50000	all	8	5	NA19098	r1	0	1	12192	12192	43	43	85	85	0.78481	0.91335	0.79105	0.90747	8487	25	21335.8	408.2	0.83052	0.77604
