type	depth	gene_subset	seed	subsampled_cells	individual	replicate	lower_q	upper_q	available_ensg	used_ensg	available_ercc	used_ercc	potential_cells	available_cells	pearson_ensg	pearson_ercc	spearman_ensg	spearman_ercc	detected_ensg	detected_ercc	mean_counts_ensg	mean_counts_ercc	var_pearson	var_spearman
reads	50000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.77372	0.89264	0.77204	0.85401	7972	29	22471.4	568.8	0.80393	0.76168
molecules	50000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.79049	0.90674	0.79042	0.85287	7972	29	12125.8	269	0.84553	0.79215
reads	50000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.36823	0.45624	0.40471	0.45631	2413	10	1291.8	8.2	0.40041	0.45108
molecules	50000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.37247	0.40588	0.41078	0.3825	2413	10	737.6	3.2	0.45504	0.46656
reads	50000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.72742	0.9144	0.70301	0.95537	5559	20	21179.6	561.4	0.76013	0.69294
molecules	50000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.76795	0.92828	0.73806	0.97116	5559	20	11388.2	266.2	0.83576	0.73606
reads	250000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.791	0.90989	0.81151	0.89587	9493	35	112233.6	2834.6	0.79418	0.79243
molecules	250000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.82884	0.95883	0.84267	0.93153	9493	35	23272.4	459.4	0.88188	0.83223
reads	250000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.44826	0.61464	0.48397	0.62964	3550	14	6412.2	40.6	0.4878	0.52785
molecules	250000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.46579	0.70036	0.51336	0.68488	3550	14	1505.2	5.4	0.56332	0.57406
reads	250000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.73097	0.94019	0.72996	0.95284	5943	22	105821.4	2798.4	0.73295	0.71624
molecules	250000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.80892	0.97677	0.78033	0.97062	5943	22	21767.2	454.4	0.86758	0.77375
reads	500000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.78889	0.90318	0.81722	0.906	9959	35	224433.2	5711.2	0.77712	0.79691
molecules	500000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.8375	0.96158	0.85458	0.94273	9959	35	28341	548.6	0.88645	0.83948
reads	500000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.46833	0.63213	0.50174	0.62964	3948	14	12877.4	79	0.50988	0.54733
molecules	500000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.48931	0.72474	0.5401	0.737	3948	14	1897.8	6.2	0.59506	0.60237
reads	500000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.73042	0.94404	0.73209	0.95822	6011	22	211555.8	5640.6	0.71718	0.71569
molecules	500000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.82268	0.97644	0.78936	0.96975	6011	22	26443.2	542.8	0.86679	0.77522
reads	1500000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.78597	0.89382	0.8229	0.90734	10632	37	673337.4	17172.6	0.749	0.80092
molecules	1500000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.85287	0.96372	0.87572	0.95263	10632	37	41587.6	797.6	0.89179	0.84962
reads	1500000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.49721	0.65312	0.52601	0.65567	4565	16	38756.6	234.6	0.52804	0.57215
molecules	1500000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.535	0.74516	0.59456	0.75596	4565	16	2897.6	9.8	0.65465	0.65416
reads	1500000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.73181	0.95005	0.73464	0.95596	6067	22	634580.8	16963.8	0.69398	0.71717
molecules	1500000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.84071	0.98299	0.80057	0.9774	6067	22	38690	788.4	0.85936	0.77407
reads	4000000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.80304	0.83085	0.85876	0.88163	11430	41	1782594.2	23734.8	0.73669	0.82391
molecules	4000000	all	1	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.87418	0.93607	0.89986	0.94154	11430	41	74181.2	1147.8	0.90239	0.86933
reads	4000000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.56531	0.04793	0.5926	0.20684	5341	20	107135.8	226.8	0.56824	0.60364
molecules	4000000	lower	1	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.6045	0.42262	0.6736	0.61776	5341	20	5605.4	14.8	0.70581	0.69181
reads	4000000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.77698	0.98054	0.7683	0.94918	6089	22	1675458.4	23547.6	0.75234	0.75114
molecules	4000000	upper	1	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.86256	0.98634	0.82498	0.97938	6089	22	68575.8	1134.4	0.8662	0.80426
reads	50000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.79803	0.87317	0.80282	0.85869	8402	30	22983.8	356	0.82731	0.7867
molecules	50000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80973	0.90512	0.81597	0.87543	8402	30	14463.2	221.2	0.85362	0.80673
reads	50000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.40887	0.12342	0.44639	0.2905	2702	10	1314.4	5.4	0.45011	0.48666
molecules	50000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.41342	0.17205	0.45344	0.31119	2702	10	882.4	2.4	0.49533	0.50231
reads	50000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.7551	0.92471	0.74115	0.94972	5700	21	21669.4	351.8	0.78184	0.72226
molecules	50000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78253	0.94728	0.76395	0.96064	5700	21	13580.8	219.2	0.8267	0.7411
reads	250000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.82185	0.85233	0.84904	0.87334	10021	35	115048.4	1773.8	0.81524	0.8173
molecules	250000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.8532	0.9146	0.87175	0.89538	10021	35	29723.4	442.6	0.88797	0.8452
reads	250000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.51148	0.15919	0.54229	0.34147	4004	14	6570.4	24.4	0.53178	0.56206
molecules	250000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.52767	0.25384	0.57278	0.35947	4004	14	1922.2	5	0.59751	0.61168
reads	250000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78137	0.92495	0.77543	0.95001	6017	22	108478	1754	0.77	0.74906
molecules	250000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.83478	0.97358	0.80729	0.96696	6017	22	27801.2	438.4	0.85699	0.77277
reads	500000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.81692	0.84827	0.85405	0.87236	10385	38	230071.2	3513.8	0.79357	0.82132
molecules	500000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.85908	0.93016	0.88006	0.91394	10385	37	35890.8	520.4	0.89265	0.85195
reads	500000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.52964	0.18269	0.55969	0.3414	4340	17	13283	49.2	0.54575	0.57432
molecules	500000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.54918	0.39882	0.597	0.52174	4340	16	2399.6	6	0.62553	0.63503
reads	500000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78142	0.92032	0.77901	0.9534	6045	22	216788.2	3474	0.76222	0.75313
molecules	500000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.84415	0.97356	0.81271	0.96696	6045	22	33491.2	515.2	0.85867	0.7782
reads	1500000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80819	0.84366	0.85844	0.88058	10905	40	690447.6	10595	0.75795	0.82437
molecules	1500000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.86712	0.94263	0.89182	0.92342	10905	39	49514.4	746	0.89558	0.85856
reads	1500000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.54664	0.2437	0.57435	0.36173	4832	19	39815	153.2	0.55412	0.59058
molecules	1500000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.57572	0.48065	0.63312	0.53238	4832	18	3464.6	8	0.66403	0.6669
reads	1500000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78099	0.9442	0.7816	0.94579	6073	22	650632.6	10469	0.74588	0.75545
molecules	1500000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.85531	0.97861	0.81839	0.97571	6073	22	46049.8	738.8	0.85446	0.78095
reads	4000000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.81373	0.94341	0.87463	0.95192	11510	40	1923699.8	21083.6	0.73762	0.8297
molecules	4000000	all	2	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.87861	0.97234	0.90674	0.95682	11509	40	80991.4	1132.4	0.90108	0.87142
reads	4000000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.56735	0.75269	0.60201	0.72686	5419	19	108274.8	155.2	0.56161	0.59838
molecules	4000000	lower	2	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.59968	0.79349	0.67301	0.73563	5418	19	5891.6	14	0.70589	0.69375
reads	4000000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.81737	0.97851	0.79789	0.97064	6091	22	1815425	20946	0.77001	0.75831
molecules	4000000	upper	2	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.87506	0.97898	0.83369	0.96131	6091	22	75099.8	1121	0.85721	0.80264
reads	50000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.78737	0.86323	0.79088	0.84442	8302	30	22727.8	394.8	0.81255	0.77569
molecules	50000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80062	0.88499	0.80489	0.86153	8302	30	13761.4	233.4	0.84855	0.80094
reads	50000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.38962	0.03195	0.42464	0.17941	2648	10	1341.6	4.8	0.42213	0.46477
molecules	50000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.39613	0.06812	0.43237	0.20696	2648	10	857.8	2.6	0.48252	0.48616
