individual	batch	well	rmdup	sickle	Assigned	Unassigned_Ambiguity	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_FragementLength	Unassigned_Chimera	Unassigned_Secondary
19239	1	B07	reads	quality-trimmed	3178277	154883	0	1465954	1758024	0	0	0	0
19239	1	G03	reads	quality-trimmed	149987	633	0	7054	438237	0	0	0	0
19239	1	B09	reads	quality-trimmed	3381537	176986	0	1852867	2078307	0	0	0	0
19239	1	C05	reads	quality-trimmed	3057997	132159	0	1641909	1898245	0	0	0	0
19239	1	F05	reads	quality-trimmed	4455009	226584	0	1836407	2302944	0	0	0	0
19239	1	H03	molecules	quality-trimmed	105922	5336	0	71370	0	0	0	0	0
19239	1	E02	molecules	quality-trimmed	43611	1913	0	25870	0	0	0	0	0
19239	1	B01	reads	quality-trimmed	1637613	87544	0	740847	1144259	0	0	0	0
19239	1	E10	reads	quality-trimmed	215500	459	0	5913	505807	0	0	0	0
19239	1	G06	molecules	quality-trimmed	74676	4049	0	37197	0	0	0	0	0
19239	1	G10	molecules	quality-trimmed	72919	3542	0	39739	0	0	0	0	0
19239	1	F12	reads	quality-trimmed	1208525	40895	0	854524	880232	0	0	0	0
19239	1	F02	reads	quality-trimmed	5360345	252266	0	2882329	3199797	0	0	0	0
19239	1	G05	molecules	quality-trimmed	102902	4840	0	62666	0	0	0	0	0
19239	1	H02	molecules	quality-trimmed	129334	6961	0	66569	0	0	0	0	0
19239	1	G09	reads	quality-trimmed	126279	469	0	260120	484858	0	0	0	0
19239	1	E09	molecules	quality-trimmed	27836	1171	0	26708	0	0	0	0	0
19239	1	A04	reads	quality-trimmed	77279	1074	0	27868	181945	0	0	0	0
19239	1	B06	reads	quality-trimmed	3375798	186520	0	1280527	1771540	0	0	0	0
19239	1	G05	reads	quality-trimmed	4325592	191245	0	1836615	2522545	0	0	0	0
19239	1	F06	reads	quality-trimmed	942331	33765	0	550228	619709	0	0	0	0
19239	1	C03	reads	quality-trimmed	4244872	224960	0	1713518	2322188	0	0	0	0
19239	1	A12	molecules	quality-trimmed	63237	3115	0	37237	0	0	0	0	0
19239	1	C10	molecules	quality-trimmed	49581	1910	0	30995	0	0	0	0	0
19239	1	F06	molecules	quality-trimmed	29568	1216	0	21521	0	0	0	0	0
19239	1	H10	molecules	quality-trimmed	66038	2684	0	60916	0	0	0	0	0
19239	1	A9E1	molecules	quality-trimmed	219987	13440	0	129414	0	0	0	0	0
19239	1	D04	reads	quality-trimmed	151516	519	0	20124	393637	0	0	0	0
19239	1	A05	reads	quality-trimmed	1706532	82548	0	866266	1073814	0	0	0	0
19239	1	C10	reads	quality-trimmed	2788087	88953	0	1277402	1600527	0	0	0	0
19239	1	H11	reads	quality-trimmed	3338797	156255	0	1392935	1734695	0	0	0	0
19239	1	B2E2	reads	quality-trimmed	42992074	2420785	0	14863986	22974121	0	0	0	0
19239	1	E10	molecules	quality-trimmed	11787	441	0	5000	0	0	0	0	0
19239	1	F01	molecules	quality-trimmed	74123	3669	0	51245	0	0	0	0	0
19239	1	E04	molecules	quality-trimmed	79340	3896	0	53426	0	0	0	0	0
19239	1	B02	molecules	quality-trimmed	66943	3465	0	42413	0	0	0	0	0
19239	1	A02	molecules	quality-trimmed	34264	1485	0	21075	0	0	0	0	0
19239	1	C07	reads	quality-trimmed	2750208	137623	0	1458506	1885184	0	0	0	0
19239	1	A02	reads	quality-trimmed	1335246	47594	0	703698	1009241	0	0	0	0
19239	1	B10	reads	quality-trimmed	4299397	221818	0	1893583	2302018	0	0	0	0
19239	1	C04	reads	quality-trimmed	161298	568	0	82389	468296	0	0	0	0
19239	1	C09	reads	quality-trimmed	2397876	109599	0	1126591	1594245	0	0	0	0
19239	1	G10	reads	quality-trimmed	4789379	219882	0	1915265	2159396	0	0	0	0
19239	1	H04	reads	quality-trimmed	5681328	279498	0	2214408	3140478	0	0	0	0
19239	1	H09	molecules	quality-trimmed	50423	2764	0	29589	0	0	0	0	0
19239	1	B4H1	molecules	quality-trimmed	191333	9805	0	167886	0	0	0	0	0
19239	1	B05	molecules	quality-trimmed	10187	393	0	3895	0	0	0	0	0
19239	1	F11	molecules	quality-trimmed	39362	2049	0	22442	0	0	0	0	0
19239	1	E09	reads	quality-trimmed	1265609	47557	0	1361808	1041807	0	0	0	0
19239	1	D02	reads	quality-trimmed	5581417	268614	0	2482546	3027040	0	0	0	0
19239	1	G12	reads	quality-trimmed	2614180	126670	0	1095887	1570116	0	0	0	0
19239	1	A03	reads	quality-trimmed	70122	591	0	6426	192187	0	0	0	0
19239	1	B05	reads	quality-trimmed	132683	448	0	6760	373858	0	0	0	0
19239	1	B08	reads	quality-trimmed	228357	542	0	6179	594883	0	0	0	0
19239	1	E03	reads	quality-trimmed	3941322	200789	0	1431732	1823758	0	0	0	0
19239	1	A01	reads	quality-trimmed	3118693	149098	0	1004308	1534170	0	0	0	0
19239	1	H09	reads	quality-trimmed	1377332	82255	0	693320	764423	0	0	0	0
19239	1	D10	reads	quality-trimmed	5715141	238884	0	5713411	5490736	0	0	0	0
19239	1	E04	reads	quality-trimmed	3123905	155401	0	1405583	2003195	0	0	0	0
19239	1	D08	molecules	quality-trimmed	78642	3657	0	47413	0	0	0	0	0
19239	1	F09	reads	quality-trimmed	1706388	79987	0	889930	1105922	0	0	0	0
19239	1	H01	reads	quality-trimmed	3324711	161202	0	1564265	1914015	0	0	0	0
19239	1	G11	reads	quality-trimmed	2540268	124978	0	1147951	1546682	0	0	0	0
19239	1	A11	reads	quality-trimmed	2556958	121824	0	1034546	1508230	0	0	0	0
19239	1	G01	reads	quality-trimmed	2416957	124770	0	831396	1367629	0	0	0	0
19239	1	E08	reads	quality-trimmed	1635258	64481	0	1103264	1219087	0	0	0	0
19239	1	A06	reads	quality-trimmed	2344284	101098	0	1325228	1588381	0	0	0	0
19239	1	B12	molecules	quality-trimmed	86279	4388	0	52680	0	0	0	0	0
19239	1	D07	molecules	quality-trimmed	133607	6891	0	72181	0	0	0	0	0
19239	1	C05	molecules	quality-trimmed	72579	3327	0	50372	0	0	0	0	0
19239	1	F05	molecules	quality-trimmed	126751	6471	0	76181	0	0	0	0	0
19239	1	E01	molecules	quality-trimmed	94715	4984	0	50858	0	0	0	0	0
19239	1	B09	molecules	quality-trimmed	59697	3147	0	43037	0	0	0	0	0
19239	1	A07	reads	quality-trimmed	5732245	314467	0	2616290	2913002	0	0	0	0
19239	1	C06	reads	quality-trimmed	1956839	92268	0	1066303	1301820	0	0	0	0
19239	1	D01	reads	quality-trimmed	3027413	125658	0	1924381	2161308	0	0	0	0
19239	1	C12	reads	quality-trimmed	2484183	101166	0	1094334	1415226	0	0	0	0
19239	1	B03	reads	quality-trimmed	4234979	232818	0	1408082	2261909	0	0	0	0
19239	1	G02	reads	quality-trimmed	245997	673	0	7468	661397	0	0	0	0
19239	1	E06	reads	quality-trimmed	1445762	52169	0	731646	929614	0	0	0	0
19239	1	D09	reads	quality-trimmed	3192659	153826	0	943459	1483223	0	0	0	0
19239	1	E07	reads	quality-trimmed	1711450	76881	0	807514	1079385	0	0	0	0
19239	1	C08	reads	quality-trimmed	2724684	106941	0	1756320	2094918	0	0	0	0
19239	1	F07	reads	quality-trimmed	2436729	100738	0	1667837	1841209	0	0	0	0
19239	1	H12	reads	quality-trimmed	117917	438	0	4790	344199	0	0	0	0
19239	1	F08	reads	quality-trimmed	2720334	106918	0	2108358	1999977	0	0	0	0
19239	1	C11	reads	quality-trimmed	2760974	129461	0	1114420	1587721	0	0	0	0
19239	1	F04	reads	quality-trimmed	3219895	135405	0	2076222	2147037	0	0	0	0
