individual	replicate	well	rmdup	Assigned	Unassigned_Ambiguity	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_Chimera	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_Duplicate
NA19098	r1	A01	molecules	63933	1322	0	50947	0	0	0	0	0	0	0
NA19098	r1	A01	reads	1861487	33995	0	940123	1116473	0	0	0	0	0	0
NA19098	r1	A02	molecules	64769	1357	0	45684	0	0	0	0	0	0	0
NA19098	r1	A02	reads	1946592	38489	0	801879	1175385	0	0	0	0	0	0
NA19098	r1	A03	molecules	43591	883	0	31398	0	0	0	0	0	0	0
NA19098	r1	A03	reads	970358	16921	0	444272	755641	0	0	0	0	0	0
NA19098	r1	A04	molecules	53830	1094	0	42621	0	0	0	0	0	0	0
NA19098	r1	A04	reads	1238339	21230	0	708786	977919	0	0	0	0	0	0
NA19098	r1	A05	molecules	71311	1483	0	57197	0	0	0	0	0	0	0
NA19098	r1	A05	reads	1927959	38311	0	1062105	1353853	0	0	0	0	0	0
NA19098	r1	A06	molecules	68461	1410	0	68074	0	0	0	0	0	0	0
NA19098	r1	A06	reads	1710633	34543	0	1046587	1616723	0	0	0	0	0	0
NA19098	r1	A07	molecules	58428	1206	0	42488	0	0	0	0	0	0	0
NA19098	r1	A07	reads	1471190	28870	0	658943	1022650	0	0	0	0	0	0
NA19098	r1	A08	molecules	89455	1854	0	68369	0	0	0	0	0	0	0
NA19098	r1	A08	reads	2274910	44482	0	1189698	1146573	0	0	0	0	0	0
NA19098	r1	A09	molecules	59913	1213	0	45304	0	0	0	0	0	0	0
NA19098	r1	A09	reads	1252165	22616	0	634713	1079917	0	0	0	0	0	0
NA19098	r1	A10	molecules	88496	1937	0	67928	0	0	0	0	0	0	0
NA19098	r1	A10	reads	2391342	50659	0	1201900	1565637	0	0	0	0	0	0
NA19098	r1	A11	molecules	74198	1466	0	59729	0	0	0	0	0	0	0
NA19098	r1	A11	reads	2083851	32710	0	1119429	1557849	0	0	0	0	0	0
NA19098	r1	A12	molecules	87310	1839	0	70706	0	0	0	0	0	0	0
NA19098	r1	A12	reads	2354955	46371	0	1410429	1451521	0	0	0	0	0	0
NA19098	r1	B01	molecules	95367	2086	0	65824	0	0	0	0	0	0	0
NA19098	r1	B01	reads	2652544	58913	0	1063784	1294413	0	0	0	0	0	0
