ensembl_gene_id	chromosome_name	external_gene_name	transcript_count	description
ENSG00000000003	X	TSPAN6	3	tetraspanin 6 [Source:HGNC Symbol;Acc:11858]
ENSG00000000005	X	TNMD	2	tenomodulin [Source:HGNC Symbol;Acc:17757]
ENSG00000000419	20	DPM1	7	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]
ENSG00000000457	1	SCYL3	5	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]
ENSG00000000460	1	C1orf112	10	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]
ENSG00000001036	6	FUCA2	4	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]
ENSG00000001084	6	GCLC	12	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]
ENSG00000001167	6	NFYA	2	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]
ENSG00000001460	1	STPG1	13	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]
ENSG00000001461	1	NIPAL3	8	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]
ENSG00000001497	X	LAS1L	6	LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]
ENSG00000001561	6	ENPP4	1	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]
ENSG00000001629	7	ANKIB1	7	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]
ENSG00000001630	7	CYP51A1	5	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]
ENSG00000001631	7	KRIT1	24	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]
ENSG00000002016	12	RAD52	20	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]
ENSG00000002549	4	LAP3	10	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]
ENSG00000002586	X	CD99	9	CD99 molecule [Source:HGNC Symbol;Acc:7082]
ENSG00000002822	7	MAD1L1	23	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]
ENSG00000002834	17	LASP1	9	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]
ENSG00000002919	17	SNX11	14	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]
ENSG00000003056	12	M6PR	12	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]
ENSG00000003096	X	KLHL13	11	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]
ENSG00000003147	7	ICA1	18	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]
ENSG00000003249	16	DBNDD1	6	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]
ENSG00000003393	2	ALS2	13	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]
ENSG00000003400	2	CASP10	13	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]
ENSG00000003402	2	CFLAR	26	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]
ENSG00000003436	2	TFPI	13	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
ENSG00000003509	2	NDUFAF7	13	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]
ENSG00000003756	3	RBM5	26	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]
ENSG00000003987	8	MTMR7	10	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]
ENSG00000003989	8	SLC7A2	5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]
ENSG00000004059	7	ARF5	6	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]
ENSG00000004142	17	POLDIP2	2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]
ENSG00000004399	3	PLXND1	18	plexin D1 [Source:HGNC Symbol;Acc:9107]
ENSG00000004455	1	AK2	13	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]
ENSG00000004478	12	FKBP4	7	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]
ENSG00000004487	1	KDM1A	7	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]
ENSG00000004534	3	RBM6	21	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]
ENSG00000004700	12	RECQL	8	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]
ENSG00000004766	7	CCDC132	23	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]
ENSG00000004777	19	ARHGAP33	13	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]
ENSG00000004779	16	NDUFAB1	5	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]
ENSG00000004864	7	SLC25A13	9	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]
ENSG00000004866	7	ST7	29	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
ENSG00000004897	17	CDC27	20	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]
ENSG00000004961	X	HCCS	3	holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]
ENSG00000004975	17	DVL2	15	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]
ENSG00000005007	19	UPF1	13	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]
ENSG00000005020	7	SKAP2	10	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]
ENSG00000005022	X	SLC25A5	4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]
ENSG00000005059	4	CCDC109B	5	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]
ENSG00000005075	7	POLR2J	2	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]
ENSG00000005100	17	DHX33	5	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]
ENSG00000005156	17	LIG3	16	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]
ENSG00000005175	12	RPAP3	7	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]
ENSG00000005194	16	CIAPIN1	15	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
ENSG00000005238	9	FAM214B	10	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]
ENSG00000005249	7	PRKAR2B	3	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]
ENSG00000005302	X	MSL3	17	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]
ENSG00000005339	16	CREBBP	12	CREB binding protein [Source:HGNC Symbol;Acc:2348]
ENSG00000005436	2	GCFC2	11	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]
ENSG00000005448	2	WDR54	13	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]
