p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.59696960462e-05	0.00463415145882	GO:0098800	c	4	inner mitochondrial membrane protein complex	4508; 4509; 4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000212907; ENSG00000228253; ENSG00000198763; ENSG00000198899	113	107
0.000140819152695	0.0446396714042	GO:0022904	b	4	respiratory electron transport chain	4508; 4509; 4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000212907; ENSG00000228253; ENSG00000198763; ENSG00000198899	130	118
0.000148443776307	0.0323607432348	GO:0022900	b	3	electron transport chain	4508; 4509; 4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000212907; ENSG00000228253; ENSG00000198763; ENSG00000198899	132	119
0.000213384079351	0.0309419783787	GO:0009141	b	5	nucleoside triphosphate metabolic process	477; 4508; 4509; 4519; 4536; 4539; 4540; 54541; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000018625; ENSG00000212907; ENSG00000228253; ENSG00000168209; ENSG00000198763; ENSG00000198899	258	213
0.000271420862971	0.0309419783787	GO:0009123	b	5	nucleoside monophosphate metabolic process	477; 4508; 4509; 4519; 4536; 4539; 4540; 54541; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000018625; ENSG00000212907; ENSG00000228253; ENSG00000168209; ENSG00000198763; ENSG00000198899	262	220
0.000338204687345	0.0140397045361	GO:0098798	c	3	mitochondrial protein complex	4508; 4509; 4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000198727; ENSG00000198786; ENSG00000212907; ENSG00000228253; ENSG00000198763; ENSG00000198899	144	136
0.000344055564843	0.0099690541371	GO:0098803	c	4	respiratory chain complex	4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000212907; ENSG00000198727; ENSG00000198763; ENSG00000198786	71	63
0.000365524867041	0.00548287300562	GO:0000780	c	5	condensed nuclear chromosome, centromeric region	891; 5347; 6790	ENSG00000166851; ENSG00000087586; ENSG00000134057	16	15
0.000546558786715	0.0099690541371	GO:0000942	c	4	condensed nuclear chromosome outer kinetochore	891; 5347	ENSG00000166851; ENSG00000134057	4	4
0.000546558786715	0.0415384677904	GO:0036017	b	5	response to erythropoietin	4501; 4502	ENSG00000187193; ENSG00000125148	4	4
0.000561588181445	0.0140397045361	GO:0005746	c	3	mitochondrial respiratory chain	4519; 4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000212907; ENSG00000198727; ENSG00000198763; ENSG00000198786	78	70
0.000639382950593	0.0642516924171	GO:1990267	b	3	response to transition metal nanoparticle	706; 891; 4501; 4502; 4519	ENSG00000187193; ENSG00000198727; ENSG00000134057; ENSG00000100300; ENSG00000125148	120	72
0.000827870294897	0.0173852761928	GO:0050136	m	5	NADH dehydrogenase (quinone) activity	4536; 4539; 4540; 4537	ENSG00000198840; ENSG00000212907; ENSG00000198763; ENSG00000198786	47	44
