# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/umi/two_cell.counts.txt" "data/umi/two_cell.sorted.bam" "data/umi/two_cell.umi.bam" 	# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/population/NA19239_yale.counts.txt" "data/population/NA19239_yale.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	data/umi/two_cell.sorted.bam	data/umi/two_cell.umi.bam	data/population/NA19239_yale.sorted.bam
ENSG00000223116	chr13	23551994	23552136	-	143	0	0	0
ENSG00000233440	chr13	23708313	23708703	+	391	15	1	4
ENSG00000207157	chr13	23726725	23726825	-	101	0	0	0
ENSG00000229483	chr13	23743974	23744736	-	763	0	0	0
ENSG00000252952	chr13	23791571	23791673	-	103	0	0	0
ENSG00000235205	chr13	23817659	23821323	+	3665	0	0	0
ENSG00000232849	chr13	93708910	93710179	+	1270	0	0	0
ENSG00000236803	chr13	23841645	23843289	+	1645	0	0	0
ENSG00000232163	chr13	23947562	23948200	+	639	0	0	0
ENSG00000252365	chr13	94021100	94021213	-	114	0	0	0
ENSG00000229558	chr13	23993110	24002818	+	9709	0	0	0
ENSG00000235784	chr13	94047230	94048108	-	879	0	0	0
ENSG00000224394	chr13	94470677	94488397	-	17721	0	0	0
ENSG00000212559	chr13	94677724	94677852	-	129	0	0	0
ENSG00000232977	chr13	24040710	24061603	+	20894	1	1	1
ENSG00000236520	chr13	94806447	94840245	-	33799	0	0	0
ENSG00000227893	chr13	24072935	24077013	+	4079	0	0	0
ENSG00000212057	chr13	95117554	95117644	-	91	0	0	0
ENSG00000222129	chr13	95303651	95303783	-	133	0	0	0
ENSG00000232102	chr13	24340073	24340243	-	171	0	0	0
ENSG00000242037	chr13	95351479	95351756	-	278	0	0	0
ENSG00000238230	chr13	95351948	95355116	-	3169	0	0	0
ENSG00000227640	chr13	95364970	95368500	+	3531	0	0	0
ENSG00000205861	chr13	24463028	24471402	+	8375	0	0	1
ENSG00000235768	chr13	95409705	95411526	-	1822	2396	11	74
ENSG00000237924	chr13	95412807	95413269	-	463	2	1	0
ENSG00000260962	chr13	95612295	95613573	+	1279	0	0	0
ENSG00000252335	chr13	95671489	95671590	+	102	0	0	0
ENSG00000238463	chr13	95862598	95862702	+	105	0	0	0
ENSG00000223298	chr13	95963084	95963209	-	126	0	0	1
ENSG00000196593	chr13	24513696	24520921	-	7226	0	0	0
ENSG00000200211	chr13	95988360	95988455	-	96	482	8	0
ENSG00000271492	chr13	96046303	96046708	+	406	0	0	0
ENSG00000223392	chr13	96131698	96186164	-	54467	0	0	0
ENSG00000228741	chr13	24553949	24609166	+	55218	0	0	0
ENSG00000247400	chr13	96300987	96329179	-	28193	0	0	37
ENSG00000225674	chr13	24696204	24697953	-	1750	0	0	0
ENSG00000229622	chr13	96344792	96346226	+	1435	0	0	0
ENSG00000252695	chr13	24736555	24736643	+	89	0	0	0
ENSG00000227213	chr13	24826887	24828577	-	1691	0	0	0
ENSG00000227714	chr13	96346237	96346749	-	513	0	0	0
ENSG00000240868	chr13	24889863	24895736	-	5874	0	0	0
ENSG00000232373	chr13	96346823	96347959	+	1137	0	0	0
ENSG00000234627	chr13	24902349	24903210	+	862	0	0	2
ENSG00000251901	chr13	96366931	96367032	-	102	0	0	0
ENSG00000261498	chr13	24905588	24911259	+	5672	0	0	0
ENSG00000226977	chr13	96461564	96461861	-	298	0	0	0
ENSG00000233545	chr13	24974841	24975167	+	327	0	0	0
